hypothesis,label,family,outcome,direction_expected,n_pairs,n_dropped_na,ref_mean,trt_mean,mean_diff,median_diff_hl,sd_diff,dz,rel_change_vs_a,boot_ci_lo,boot_ci_hi,perm_p,p_holm,wilcoxon_p,perm_deterministic,direction_met
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (coord_template_refresh_count),H8_mu,coord_template_refresh_count,>,30,0,2.3666666666666667,25.433333333333334,23.066666666666666,23.0,2.164499358111332,10.656813817119286,9.746478873239436,22.3,23.8,9.999000099990002e-05,0.0015998400159984002,1.6249951586519442e-06,False,True
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (template_generations),H8_mu,template_generations,>,30,0,20.533333333333335,42.8,22.266666666666666,22.0,3.1176177170854444,7.142205583654118,1.0844155844155843,21.2,23.366666666666667,9.999000099990002e-05,0.0015998400159984002,1.6752383396794872e-06,False,True
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (effective_block_interval_s),H8_mu,effective_block_interval_s,>,30,0,608.2594206046218,647.5744084490215,39.31498784439961,32.05128205128199,225.28259909314158,0.17451409031438372,0.06463523048326936,-36.993650126390065,120.90463884097782,0.3575642435756424,0.7685231476852316,0.4754442113748394,False,True
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (exhausted_rounds),H8_mu,exhausted_rounds,>,30,0,2.1666666666666665,9.3,7.133333333333334,7.0,2.096521475885848,3.4024613701222735,3.2923076923076926,6.4,7.867499999999987,9.999000099990002e-05,0.0015998400159984002,1.6416009966164372e-06,False,True
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (coord_template_refresh_count),H8_mu,coord_template_refresh_count,>,30,0,2.1666666666666665,9.3,7.133333333333334,7.0,2.096521475885848,3.4024613701222735,3.2923076923076926,6.4,7.867499999999987,9.999000099990002e-05,0.0015998400159984002,1.6416009966164372e-06,False,True
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (template_generations),H8_mu,template_generations,>,30,0,20.766666666666666,27.133333333333333,6.366666666666666,6.5,2.8585423501876077,2.227242379756528,0.30658105939004815,5.333333333333333,7.366666666666666,9.999000099990002e-05,0.0015998400159984002,1.8454744786905325e-06,False,True
H8,H8 N=500 mu=1.0: vs baseline mu=2.0 (effective_block_interval_s),H8_mu,effective_block_interval_s,>,30,0,593.5958281260475,627.1623256917375,33.566497565689914,27.31092436974788,156.096029980688,0.21503748410412948,0.05654773159652701,-19.360649231341775,90.1686640790995,0.25617438256174385,0.7685231476852316,0.2918561106111549,False,True
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (exhausted_rounds),H8_mu,exhausted_rounds,>,30,0,2.1666666666666665,25.266666666666666,23.1,23.0,1.9360464514233553,11.931531902562147,10.661538461538463,22.433333333333334,23.766666666666666,9.999000099990002e-05,0.0015998400159984002,1.5820715270325305e-06,False,True
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (coord_template_refresh_count),H8_mu,coord_template_refresh_count,>,30,0,2.1666666666666665,25.266666666666666,23.1,23.0,1.9360464514233553,11.931531902562147,10.661538461538463,22.433333333333334,23.766666666666666,9.999000099990002e-05,0.0015998400159984002,1.5820715270325305e-06,False,True
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (template_generations),H8_mu,template_generations,>,30,0,20.766666666666666,42.7,21.933333333333334,22.0,3.128658777675577,7.010458759465168,1.056179775280899,20.86583333333334,23.066666666666666,9.999000099990002e-05,0.0015998400159984002,1.6805458207281375e-06,False,True
H8,H8 N=500 mu=0.5: vs baseline mu=2.0 (effective_block_interval_s),H8_mu,effective_block_interval_s,>,30,0,593.5958281260475,643.7091795373528,50.113351411305366,43.6507936507937,188.13820317903773,0.2663645690482972,0.0844233551463977,-15.662821187302953,116.6031536518226,0.15658434156584342,0.6263373662633737,0.1753935456315695,False,True
