tag,arm,N,seed,run_kind,accepted_blocks,closed_rounds,mean_interval_s,median_interval_s,p95_interval_s,blocks_per_hour,stale_blocks
primary,ND-PC,200,5259580605389323177,physical,16,17,566.8117604782115,347.4067237890239,1303.7156160812056,5.76,0
primary,ND-PC-NOLP,200,5259580605389323177,derived,16,17,566.8117604782115,347.4067237890239,1303.7156160812056,5.76,0
primary,ND-PW,200,14894895525097951974,physical,15,16,655.4377435445389,339.0579032882682,2023.5607282806682,5.4,0
primary,ND-PW-OFFSET,200,14894895525097951974,physical,15,16,655.4377435445389,339.0579032882682,2023.5607282806682,5.4,0
primary,ND-PC,200,14894895525097951974,physical,15,16,655.4377594053551,339.0579115180416,2023.5607772922538,5.4,0
primary,ND-PC-NOLP,200,14894895525097951974,derived,15,16,655.4377594053551,339.0579115180416,2023.5607772922538,5.4,0
primary,ND-PW,200,14255052758501613198,physical,27,28,366.4847267732162,262.1811370394982,962.4339368260762,9.72,0
primary,ND-PW-OFFSET,200,14255052758501613198,physical,27,28,366.4847267732162,262.1811370394982,962.4339368260762,9.72,0
primary,ND-PC,200,14255052758501613198,physical,27,28,366.4847356459559,262.18114344087775,962.4339601484875,9.72,0
primary,ND-PC-NOLP,200,14255052758501613198,derived,27,28,366.4847356459559,262.18114344087775,962.4339601484875,9.72,0
primary,ND-PW,200,14970427933435388700,physical,25,26,386.21501091780965,254.31110910359632,915.50738278483,9.0,0
primary,ND-PW-OFFSET,200,14970427933435388700,physical,25,26,386.21501091780965,254.31110910359632,915.50738278483,9.0,0
primary,ND-PC,200,14970427933435388700,physical,25,26,386.2150202670029,254.3111152231799,915.5074049186825,9.0,0
primary,ND-PC-NOLP,200,14970427933435388700,derived,25,26,386.2150202670029,254.3111152231799,915.5074049186825,9.0,0
primary,ND-PW,200,6530983822519173908,physical,25,26,396.92932947464396,203.98575576700284,783.4215556130977,9.0,0
primary,ND-PW-OFFSET,200,6530983822519173908,physical,25,26,396.92932947464396,203.98575576700284,783.4215556130977,9.0,0
primary,ND-PC,200,6530983822519173908,physical,25,26,396.92933908093374,203.98576069802107,783.4215745764762,9.0,0
primary,ND-PC-NOLP,200,6530983822519173908,derived,25,26,396.92933908093374,203.98576069802107,783.4215745764762,9.0,0
primary,ND-PW,200,16478255227937338382,physical,18,19,548.8197837377716,507.6421016954162,1160.172515036522,6.48,0
primary,ND-PW-OFFSET,200,16478255227937338382,physical,18,19,548.8197837377716,507.6421016954162,1160.172515036522,6.48,0
primary,ND-PC,200,16478255227937338382,physical,18,19,548.8197970212523,507.64211401292107,1160.1725431183147,6.48,0
primary,ND-PC-NOLP,200,16478255227937338382,derived,18,19,548.8197970212523,507.64211401292107,1160.1725431183147,6.48,0
primary,ND-PW,200,447822293856133746,physical,15,16,660.3978415631601,522.027867957174,1803.144151070737,5.4,0
primary,ND-PW-OFFSET,200,447822293856133746,physical,15,16,660.3978415631601,522.027867957174,1803.144151070737,5.4,0
primary,ND-PC,200,447822293856133746,physical,15,16,660.3978575563616,522.0278806254863,1803.144194805503,5.4,0
primary,ND-PC-NOLP,200,447822293856133746,derived,15,16,660.3978575563616,522.0278806254863,1803.144194805503,5.4,0
primary,ND-PW,200,9364596802063509215,physical,18,19,429.06557097547596,330.15834050938133,1124.8464778432394,6.48,0
primary,ND-PW-OFFSET,200,9364596802063509215,physical,18,19,429.06557097547596,330.15834050938133,1124.8464778432394,6.48,0
primary,ND-PC,200,9364596802063509215,physical,18,19,429.0655813786129,330.1583485084417,1124.8465050669504,6.48,0
primary,ND-PC-NOLP,200,9364596802063509215,derived,18,19,429.0655813786129,330.1583485084417,1124.8465050669504,6.48,0
primary,ND-PW,200,6483795830361016413,physical,14,15,612.2154032115612,499.59379397397026,1193.2995271165116,5.04,0
primary,ND-PW-OFFSET,200,6483795830361016413,physical,14,15,612.2154032115612,499.59379397397026,1193.2995271165116,5.04,0
primary,ND-PC,200,6483795830361016413,physical,14,15,612.2154180267378,499.5938060909547,1193.2995560184759,5.04,0
primary,ND-PC-NOLP,200,6483795830361016413,derived,14,15,612.2154180267378,499.5938060909547,1193.2995560184759,5.04,0
primary,ND-PW,200,13726057523507487050,physical,22,23,446.8160371323902,289.44324481423365,954.4721814877993,7.92,0
primary,ND-PW-OFFSET,200,13726057523507487050,physical,22,23,446.8160371323902,289.44324481423365,954.4721814877993,7.92,0
primary,ND-PC,200,13726057523507487050,physical,22,23,446.8160479506542,289.4432518509104,954.4722045471307,7.92,0
primary,ND-PC-NOLP,200,13726057523507487050,derived,22,23,446.8160479506542,289.4432518509104,954.4722045471307,7.92,0
primary,ND-PW,200,592649121540029029,physical,18,19,509.4577869632676,338.5960559282884,1293.5178804386744,6.48,0
primary,ND-PW-OFFSET,200,592649121540029029,physical,18,19,509.4577869632676,338.5960559282884,1293.5178804386744,6.48,0
primary,ND-PC,200,592649121540029029,physical,18,19,509.4577993072069,338.59606416780605,1293.517911771003,6.48,0
primary,ND-PC-NOLP,200,592649121540029029,derived,18,19,509.4577993072069,338.59606416780605,1293.517911771003,6.48,0
