tag,arm,N,seed,run_kind,template_epochs_completed,header_renewals,nonce_domain_exhaustions,nonce_resets
primary,ND-PC,200,405674777376978405,physical,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PC-NOLP,200,405674777376978405,derived,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PW,200,5516199827559636311,physical,108964739400,108964739400,108964739400,108964742600
primary,ND-PW-OFFSET,200,5516199827559636311,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,5516199827559636311,physical,108964738583,108964738583,21792947716600,21792947716600
primary,ND-PC-NOLP,200,5516199827559636311,derived,108964738583,108964738583,21792947716600,21792947716600
primary,ND-PW,200,676253669661655881,physical,108964739600,108964739600,108964739600,108964743400
primary,ND-PW-OFFSET,200,676253669661655881,physical,108964739600,108964739600,108964739600,0
primary,ND-PC,200,676253669661655881,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,676253669661655881,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,4902971022134724746,physical,108964740000,108964740000,108964740000,108964742600
primary,ND-PW-OFFSET,200,4902971022134724746,physical,108964740000,108964740000,108964740000,0
primary,ND-PC,200,4902971022134724746,physical,108964738582,108964738582,21792947716400,21792947716400
primary,ND-PC-NOLP,200,4902971022134724746,derived,108964738582,108964738582,21792947716400,21792947716400
primary,ND-PW,200,7985863793510020389,physical,108964739400,108964739400,108964739400,108964742800
primary,ND-PW-OFFSET,200,7985863793510020389,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,7985863793510020389,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,7985863793510020389,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,5259580605389323177,physical,108964739400,108964739400,108964739400,108964742800
primary,ND-PW-OFFSET,200,5259580605389323177,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,5259580605389323177,physical,108964738583,108964738583,21792947716600,21792947716600
primary,ND-PC-NOLP,200,5259580605389323177,derived,108964738583,108964738583,21792947716600,21792947716600
primary,ND-PW,200,14894895525097951974,physical,108964740000,108964740000,108964740000,108964743200
primary,ND-PW-OFFSET,200,14894895525097951974,physical,108964740000,108964740000,108964740000,0
primary,ND-PC,200,14894895525097951974,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,14894895525097951974,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,14255052758501613198,physical,108964738400,108964738400,108964738400,108964744000
primary,ND-PW-OFFSET,200,14255052758501613198,physical,108964738400,108964738400,108964738400,0
primary,ND-PC,200,14255052758501613198,physical,108964738577,108964738577,21792947715400,21792947715400
primary,ND-PC-NOLP,200,14255052758501613198,derived,108964738577,108964738577,21792947715400,21792947715400
primary,ND-PW,200,14970427933435388700,physical,108964738600,108964738600,108964738600,108964743800
primary,ND-PW-OFFSET,200,14970427933435388700,physical,108964738600,108964738600,108964738600,0
primary,ND-PC,200,14970427933435388700,physical,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PC-NOLP,200,14970427933435388700,derived,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PW,200,6530983822519173908,physical,108964738000,108964738000,108964738000,108964743200
primary,ND-PW-OFFSET,200,6530983822519173908,physical,108964738000,108964738000,108964738000,0
primary,ND-PC,200,6530983822519173908,physical,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PC-NOLP,200,6530983822519173908,derived,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PW,200,16478255227937338382,physical,108964739200,108964739200,108964739200,108964743000
primary,ND-PW-OFFSET,200,16478255227937338382,physical,108964739200,108964739200,108964739200,0
