tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
primary,ND-PC-NOLP,200,2704408835578762228,derived,467999988667667187784,2.1272726757621236e+19,467999988667667187784,0
primary,ND-PW,200,11237067994138084197,physical,468000000000000000000,2.463157894736842e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,11237067994138084197,physical,468000000000000000000,2.463157894736842e+19,468000000000000000000,0
primary,ND-PC,200,11237067994138084197,physical,467999988667667187264,2.463157835092985e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,11237067994138084197,derived,467999988667667187264,2.463157835092985e+19,467999988667667187264,0
primary,ND-PW,200,5926412735843326529,physical,468000000000000000000,4.254545454545455e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,5926412735843326529,physical,468000000000000000000,4.254545454545455e+19,468000000000000000000,0
primary,ND-PC,200,5926412735843326529,physical,467999988667667187056,4.254545351524247e+19,467999988667667187056,0
primary,ND-PC-NOLP,200,5926412735843326529,derived,467999988667667187056,4.254545351524247e+19,467999988667667187056,0
primary,ND-PW,200,5192363207272324882,physical,468000000000000000000,2.7529411764705882e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,5192363207272324882,physical,468000000000000000000,2.7529411764705882e+19,468000000000000000000,0
primary,ND-PC,200,5192363207272324882,physical,467999988667667187160,2.752941109809807e+19,467999988667667187160,0
primary,ND-PC-NOLP,200,5192363207272324882,derived,467999988667667187160,2.752941109809807e+19,467999988667667187160,0
primary,ND-PW,200,14936110819278713214,physical,468000000000000000000,2.7529411764705882e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,14936110819278713214,physical,468000000000000000000,2.7529411764705882e+19,468000000000000000000,0
primary,ND-PC,200,14936110819278713214,physical,467999988667667187576,2.752941109809807e+19,467999988667667187576,0
primary,ND-PC-NOLP,200,14936110819278713214,derived,467999988667667187576,2.752941109809807e+19,467999988667667187576,0
primary,ND-PW,200,15027284727339452496,physical,468000000000000000000,3.3428571428571427e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,15027284727339452496,physical,468000000000000000000,3.3428571428571427e+19,468000000000000000000,0
primary,ND-PC,200,15027284727339452496,physical,467999988667667187264,3.3428570619119084e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,15027284727339452496,derived,467999988667667187264,3.3428570619119084e+19,467999988667667187264,0
primary,ND-PW,200,529132900484142986,physical,468000000000000000000,3.6e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,529132900484142986,physical,468000000000000000000,3.6e+19,468000000000000000000,0
primary,ND-PC,200,529132900484142986,physical,467999988667667187160,3.599999912828209e+19,467999988667667187160,0
