tag,arm,N,seed,run_kind,block_retention,latency_ratio,saving_LP0,energy_per_block_ratio_LP0,saving_LP10,energy_per_block_ratio_LP10,saving_LP25,energy_per_block_ratio_LP25,saving_LP50,energy_per_block_ratio_LP50
primary,ND-PC,100,447822293856133746,physical,1.0,1.0000000011602383,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,447822293856133746,derived,1.0,1.0000000011602383,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,9364596802063509215,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,9364596802063509215,physical,1.0,1.0000000009448873,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,9364596802063509215,derived,1.0,1.0000000009448873,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,6483795830361016413,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,6483795830361016413,physical,1.0,1.0000000009706085,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015081,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,6483795830361016413,derived,1.0,1.0000000009706085,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,13726057523507487050,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,13726057523507487050,physical,1.0,1.000000000710945,9.313225746154785e-10,0.9999999990686775,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,13726057523507487050,derived,1.0,1.000000000710945,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,592649121540029029,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,592649121540029029,physical,1.0,1.0000000009157741,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,592649121540029029,derived,1.0,1.0000000009157741,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,13234303622947097637,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,13234303622947097637,physical,1.0,1.0000000011126216,9.313225746154785e-10,0.9999999990686775,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.9999999993015082,4.656612873077393e-10,0.9999999995343388
primary,ND-PC-NOLP,100,13234303622947097637,derived,1.0,1.0000000011126216,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,100,17788360996555233988,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,100,17788360996555233988,physical,1.0,1.000000001017346,9.313225746154785e-10,0.9999999990686774,8.381902949494702e-10,0.9999999991618097,6.984920419839113e-10,0.999999999301508,4.656612873077393e-10,0.9999999995343387
primary,ND-PC-NOLP,100,17788360996555233988,derived,1.0,1.000000001017346,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,467376819415377580,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,467376819415377580,physical,1.0,1.0000000242577498,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070523,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,467376819415377580,derived,1.0,1.0000000242577498,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,2704408835578762228,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,2704408835578762228,physical,1.0,1.0000000243381497,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070524,1.816078976091262e-08,0.9999999818392105,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,2704408835578762228,derived,1.0,1.0000000243381497,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,11237067994138084197,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,11237067994138084197,physical,1.0,1.0000000241659084,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070523,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,11237067994138084197,derived,1.0,1.0000000241659084,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,5926412735843326529,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,5926412735843326529,physical,1.0,1.0000000241658344,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070524,1.816078976091262e-08,0.9999999818392105,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,5926412735843326529,derived,1.0,1.0000000241658344,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,5192363207272324882,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,5192363207272324882,physical,1.0,1.0000000240711544,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070523,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,5192363207272324882,derived,1.0,1.0000000240711544,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,14936110819278713214,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,14936110819278713214,physical,1.0,1.0000000242184603,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070523,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,14936110819278713214,derived,1.0,1.0000000242184603,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,15027284727339452496,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
