tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
primary,ND-PC-NOLP,100,13726057523507487050,derived,23,22,233999999782070517788,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,592649121540029029,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,592649121540029029,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,592649121540029029,physical,19,18,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
primary,ND-PC-NOLP,100,592649121540029029,derived,19,18,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,13234303622947097637,physical,23,22,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,13234303622947097637,physical,23,22,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,13234303622947097637,physical,23,22,233999999782070517788,999999.9990686774,0.0009313225735555555,9.313225735555555e-10,0.0,0.0
primary,ND-PC-NOLP,100,13234303622947097637,derived,23,22,233999999782070517788,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,17788360996555233988,physical,17,16,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,17788360996555233988,physical,17,16,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,17788360996555233988,physical,17,16,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
primary,ND-PC-NOLP,100,17788360996555233988,derived,17,16,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,467376819415377580,physical,20,19,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,467376819415377580,physical,20,19,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,467376819415377580,physical,20,19,467999988667667187576,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08,0.0,0.0
primary,ND-PC-NOLP,200,467376819415377580,derived,20,19,467999988667667187576,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,2704408835578762228,physical,23,22,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,2704408835578762228,physical,23,22,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,2704408835578762228,physical,23,22,467999988667667187784,1999999.9515712273,0.04842877270177778,2.421438635088889e-08,0.0,0.0
primary,ND-PC-NOLP,200,2704408835578762228,derived,23,22,467999988667667187784,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,11237067994138084197,physical,20,19,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,11237067994138084197,physical,20,19,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,11237067994138084197,physical,20,19,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,11237067994138084197,derived,20,19,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,5926412735843326529,physical,12,11,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,5926412735843326529,physical,12,11,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,5926412735843326529,physical,12,11,467999988667667187056,1999999.9515712273,0.04842877270488889,2.4214386352444445e-08,0.0,0.0
primary,ND-PC-NOLP,200,5926412735843326529,derived,12,11,467999988667667187056,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,5192363207272324882,physical,18,17,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,5192363207272324882,physical,18,17,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,5192363207272324882,physical,18,17,467999988667667187160,1999999.9515712273,0.04842877270444444,2.421438635222222e-08,0.0,0.0
primary,ND-PC-NOLP,200,5192363207272324882,derived,18,17,467999988667667187160,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,14936110819278713214,physical,18,17,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,14936110819278713214,physical,18,17,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,14936110819278713214,physical,18,17,467999988667667187576,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08,0.0,0.0
primary,ND-PC-NOLP,200,14936110819278713214,derived,18,17,467999988667667187576,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,15027284727339452496,physical,15,14,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,15027284727339452496,physical,15,14,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,15027284727339452496,physical,15,14,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,15027284727339452496,derived,15,14,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,529132900484142986,physical,14,13,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,529132900484142986,physical,14,13,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,529132900484142986,physical,14,13,467999988667667187160,1999999.9515712273,0.04842877270444444,2.421438635222222e-08,0.0,0.0
primary,ND-PC-NOLP,200,529132900484142986,derived,14,13,467999988667667187160,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,8583420154531566926,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,8583420154531566926,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,8583420154531566926,physical,16,15,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,8583420154531566926,derived,16,15,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,16465068975321571430,physical,12,11,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,16465068975321571430,physical,12,11,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,16465068975321571430,physical,12,11,467999988667667187056,1999999.9515712273,0.04842877270488889,2.4214386352444445e-08,0.0,0.0
primary,ND-PC-NOLP,200,16465068975321571430,derived,12,11,467999988667667187056,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,1580318165844385263,physical,13,12,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,1580318165844385263,physical,13,12,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,1580318165844385263,physical,13,12,467999988667667187160,1999999.9515712273,0.04842877270444444,2.421438635222222e-08,0.0,0.0
primary,ND-PC-NOLP,200,1580318165844385263,derived,13,12,467999988667667187160,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,860680765458012691,physical,30,29,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,860680765458012691,physical,30,29,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,860680765458012691,physical,30,29,467999988667667187888,1999999.9515712273,0.048428772701333334,2.4214386350666665e-08,0.0,0.0
primary,ND-PC-NOLP,200,860680765458012691,derived,30,29,467999988667667187888,2000000.0,0.0,0.0,0.0,0.0
