N,boot_ci_high,boot_ci_low,cohens_d,comparison,hardware,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
100,4.085620730620576e-16,-3.597122599785505e-17,0.1593255013631383,pocol_minus_independent_header_pow,H2,1.7763568394002506e-16,0.0,total_energy_kwh,100,8.58925,8.589249999999998,3.730349362740526e-16,0.0,True,0.0858925,1.7763568394002506e-16
100,0.013486439929390791,-0.055700311667160475,-0.11656810445790002,pocol_minus_independent_header_pow,H2,-0.020450309091763007,0.0,energy_per_accepted_block_kwh,100,0.5385777311446328,0.5181274220528698,,,,,
100,11.28136151093475,-63.767567121307465,-0.13504144901289447,pocol_minus_independent_header_pow,H2,-25.68931122082141,-17.963894468262822,mean_block_interval_s,100,599.7907924118617,574.1014811910403,,,,,
100,1.6607499999999957,-0.53,0.09268899104858704,pocol_minus_independent_header_pow,H2,0.53,0.0,accepted_blocks,100,16.9,17.43,,,,,
100,84.48,-15.36,0.12604515110010558,pocol_minus_independent_header_pow,H2,33.28,0.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
200,1.4210854715202005e-15,7.105427357601002e-16,0.6224076673273122,pocol_minus_common_template_duplicate_baseline,H2,1.0658141036401502e-15,0.0,total_energy_kwh,100,17.178499999999996,17.1785,,,,,
200,-15.911782819402514,-16.2102369779668,-66.28686340656212,pocol_minus_common_template_duplicate_baseline,H2,-16.06881385958502,-16.10484375,energy_per_accepted_block_kwh,9,17.1785,1.0824223027466273,,,,,
200,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H2,nan,nan,mean_block_interval_s,0,nan,603.876267520905,,,,,
200,17.720249999999997,16.12,4.2063646003872925,pocol_minus_common_template_duplicate_baseline,H2,16.94,17.0,accepted_blocks,100,0.09,17.03,,,,,
200,-25.6,-194.56,-0.26321630352376957,pocol_minus_common_template_duplicate_baseline,H2,-112.64,0.0,total_attempts,100,2.8764e+18,2.8764e+18,,,,,
200,3.1974423109204507e-16,-6.394884621840901e-16,-0.07125253031944254,pocol_minus_independent_header_pow,H2,-1.7763568394002506e-16,0.0,total_energy_kwh,100,17.1785,17.1785,2.1316282072803005e-16,-5.684341886080802e-16,True,0.171785,-1.7763568394002506e-16
200,0.09818023805794594,-0.07731257274394493,0.02131574973263012,pocol_minus_independent_header_pow,H2,0.009257708785563841,0.0,energy_per_accepted_block_kwh,100,1.0731645939610635,1.0824223027466273,,,,,
200,50.08095647361182,-44.84211164273963,0.009486046903834543,pocol_minus_independent_header_pow,H2,2.2869579850292503,-2.060599948584837,mean_block_interval_s,100,601.5893095358758,603.876267520905,,,,,
200,1.1,-1.09,0.0018193242854706514,pocol_minus_independent_header_pow,H2,0.01,0.0,accepted_blocks,100,17.02,17.03,,,,,
200,76.8,-153.6,-0.0684167454928235,pocol_minus_independent_header_pow,H2,-40.96,0.0,total_attempts,100,2.8764e+18,2.8764e+18,,,,,
300,7.815970093361102e-16,-1.4210854715202004e-16,0.13786541867613386,pocol_minus_common_template_duplicate_baseline,H2,3.1974423109204507e-16,0.0,total_energy_kwh,100,25.767749999999996,25.767749999999996,,,,,
300,-24.252,-24.615780000000004,-105.18962067207956,pocol_minus_common_template_duplicate_baseline,H2,-24.394312083333332,-24.294104166666664,energy_per_accepted_block_kwh,4,25.76775,1.615737039209546,,,,,
