protocol,n_miners,seed,config_hash,sim_time,aggregate_hashrate_THs,aggregate_power_W,energy_kWh,co2_kg,created_blocks,accepted_main_blocks,stale_blocks,stale_rate_pct,accepted_block_interval_s,created_block_interval_s,throughput_tx_per_s,confirmation_time_6blk_s,energy_per_accepted_block_kWh,energy_per_tx_kWh,total_hashes,active_mining_time_s,exhausted_rounds,_cmd
PoCol,200,6,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,15,15,0,0.0,677.3513482748538,666.6666666666666,2.7735,4064.1080896491226,0.5613888888888874,0.0003036175710594307,1.4100000000000003e+18,2000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 6
PoCol,200,7,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,17,17,0,0.0,507.6771520479828,588.2352941176471,3.1061,3046.062912287897,0.49534313725490065,0.00027110631767597024,1.41e+18,2000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 7
PoCol,200,8,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,17,17,0,0.0,557.9148077792352,588.2352941176471,3.1343,3347.488846675411,0.49534313725490065,0.00026866711333737393,1.41e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 8
PoCol,200,9,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,15,15,0,0.0,617.2406592401177,666.6666666666666,2.7507,3703.4439554407063,0.5613888888888874,0.00030613419614401103,1.41e+18,2000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 9
PoCol,200,10,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,15,15,0,0.0,701.1182224678138,666.6666666666666,2.7743,4206.709334806883,0.5613888888888874,0.000303530019584519,1.41e+18,2000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 10
PoCol,200,11,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,20,20,0,0.0,494.03124352480745,500.0,3.6925,2964.1874611488447,0.42104166666666554,0.00022805235838411133,1.4100000000000003e+18,2000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 11
PoCol,200,12,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,19,19,0,0.0,509.11254223333214,526.3157894736842,3.5065,3054.675253399993,0.44320175438596376,0.00024014924663719696,1.41e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 12
PoCol,200,13,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,15,15,0,0.0,621.1035358470671,666.6666666666666,2.7654,3726.621215082402,0.5613888888888874,0.00030450688266917306,1.41e+18,2000000.0,5,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 13
PoCol,200,14,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,19,19,0,0.0,420.52970534286146,526.3157894736842,3.537,2523.1782320571688,0.44320175438596376,0.00023807840919800146,1.4100000000000003e+18,2000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 14
PoCol,200,15,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,19,19,0,0.0,495.3077499850403,526.3157894736842,3.5145,2971.8464999102416,0.44320175438596376,0.00023960259875752772,1.4099999999999997e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 15
PoCol,200,16,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333435,25,25,0,0.0,387.6338322805396,400.0,4.5812,2325.8029936832377,0.33683333333333243,0.0001838128292441568,1.4100000000000003e+18,2000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 16
PoCol,200,17,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,15,15,0,0.0,537.7515206477217,666.6666666666666,2.7805,3226.50912388633,0.5613888888888874,0.0003028532038602162,1.4099999999999997e+18,2000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 17
