time_s,H_effective,H_pipeline,floor_threshold,live_activation_requests,waking_miners,active_hashing_miners,accepted_block_event,round_boundary
61.764167,3600.0,3600.0,3200.0,0,0,12,0,0
61.889167,2800.0,2800.0,3200.0,0,0,8,0,0
61.930833,1900.0,1900.0,3200.0,0,0,5,0,0
61.964167,300.0,1100.0,3200.0,3,3,1,0,0
62.010833,0.0,0.0,3200.0,0,0,0,1,1
63.010833,2800.0,2800.0,3200.0,0,0,12,0,0
63.010833,4000.0,4000.0,3200.0,0,0,16,0,0
63.210833,2400.0,3200.0,3200.0,3,3,12,0,0
63.277500,1200.0,2200.0,3200.0,4,4,8,0,0
63.410833,400.0,1400.0,3200.0,4,4,4,0,0
63.810833,0.0,1000.0,3200.0,4,4,0,0,0
64.210833,800.0,1000.0,3200.0,1,1,3,0,0
64.277500,1000.0,1000.0,3200.0,0,0,4,0,0
64.410833,600.0,600.0,3200.0,0,0,3,0,0
64.477500,300.0,300.0,3200.0,0,0,2,0,0
64.677500,100.0,100.0,3200.0,0,0,1,0,0
64.930833,0.0,0.0,3200.0,0,0,0,1,1
65.930833,3600.0,3600.0,3200.0,0,0,12,0,0
66.014167,2700.0,2700.0,3200.0,0,0,9,0,0
66.055833,300.0,300.0,3200.0,0,0,1,0,0
66.074167,0.0,0.0,3200.0,0,0,0,1,1
67.007500,300.0,300.0,3200.0,0,0,1,0,0
67.090833,0.0,0.0,3200.0,0,0,0,1,1
67.995833,200.0,200.0,3200.0,0,0,1,0,0
68.120833,0.0,0.0,3200.0,0,0,0,1,1
69.120833,3600.0,3600.0,3200.0,0,0,12,0,0
69.204167,2400.0,2400.0,3200.0,0,0,8,0,0
69.245833,200.0,200.0,3200.0,0,0,1,0,0
69.270833,0.0,0.0,3200.0,0,0,0,1,1
70.270833,4000.0,4000.0,3200.0,0,0,16,0,0
70.470833,2400.0,3200.0,3200.0,3,3,12,0,0
70.537500,1200.0,2200.0,3200.0,4,4,8,0,0
70.670833,400.0,1400.0,3200.0,4,4,4,0,0
71.070833,0.0,1000.0,3200.0,4,4,0,0,0
71.470833,800.0,1000.0,3200.0,1,1,3,0,0
71.537500,1000.0,1000.0,3200.0,0,0,4,0,0
71.670833,600.0,600.0,3200.0,0,0,3,0,0
71.737500,300.0,300.0,3200.0,0,0,2,0,0
71.937500,100.0,100.0,3200.0,0,0,1,0,0
72.270833,0.0,0.0,3200.0,0,0,0,0,1
73.270833,2800.0,2800.0,3200.0,0,0,8,0,0
73.333333,1200.0,1200.0,3200.0,0,0,4,0,0
73.354167,300.0,300.0,3200.0,0,0,1,0,0
73.367500,0.0,0.0,3200.0,0,0,0,1,1
74.367500,4000.0,4000.0,3200.0,0,0,16,0,0
74.567500,2400.0,3200.0,3200.0,3,3,12,0,0
74.634167,1200.0,2200.0,3200.0,4,4,8,0,0
74.767500,400.0,1400.0,3200.0,4,4,4,0,0
75.167500,0.0,1000.0,3200.0,4,4,0,0,0
75.567500,700.0,900.0,3200.0,1,1,2,0,0
75.634167,900.0,900.0,3200.0,0,0,3,0,0
75.759167,700.0,700.0,3200.0,0,0,2,0,0
75.767500,0.0,0.0,3200.0,0,0,0,1,1
76.730833,300.0,300.0,3200.0,0,0,1,0,0
