N,M,mode,schedule,hardware,idle_ratio,sleep_ratio,use_sleep,slot_seconds,sim_seconds,per_miner_hashrate_hps,per_miner_active_power_w,aggregate_active_power_w,n_slots,successful_rounds,exhausted_rounds,active_miner_seconds,idle_miner_seconds,sleep_miner_seconds,unique_candidate_evaluations,duplicate_header_evaluations,total_energy_j,total_energy_kwh,co2_kg,energy_per_successful_round_kwh,avg_discovery_time_s,pct_time_active,slot_utilization,total_state_time_s,seed,p_success,deterministic
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,12,5,514122.2999999999,485877.7000000001,0.0,8568705,848301795,56271007.00000002,15.630835277777784,6.955721698611114,1.302569606481482,178.43525,51.41222999999999,0.7058823529411765,1000000.0,27,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,388426.0200000003,611573.9799999992,0.0,6473767,640902933,44958341.79999998,12.488428277777773,5.557350583611109,0.892030591269841,148.87572857142854,38.84260200000003,0.8235294117647058,999999.9999999995,32,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,397717.800000001,602282.1999999996,0.0,6628630,656234370,45794602.00000006,12.720722777777794,5.660721636111119,0.8480481851851863,185.1452,39.7717800000001,0.8823529411764706,1000000.0000000006,31,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,415103.87999999954,584896.1200000009,0.0,6918398,684921402,47359349.19999992,13.155374777777755,5.854141776111101,0.8222109236111097,221.93992500000002,41.510387999999956,0.9411764705882353,1000000.0000000005,34,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,13,4,432070.3600000007,567929.6399999993,0.0,7534506,745916094,48886332.40000004,13.57953677777779,6.0428938661111165,1.044579752136753,163.13104615384617,43.207036000000066,0.7647058823529411,1000000.0,35,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,450536.1600000003,549463.84,0.0,7508936,743384664,50548254.39999998,14.041181777777773,6.248325891111109,0.9360787851851848,220.35743999999997,45.05361600000003,0.8823529411764706,1000000.0000000002,37,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,335790.05999999953,664209.9399999992,0.0,5596501,554053599,40221105.40000001,11.172529277777782,4.971775528611113,0.7448352851851855,143.86004,33.57900599999996,0.8823529411764706,999999.9999999988,38,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,418014.3600000006,581985.6399999998,0.0,6966906,689723694,47621292.400000036,13.228136777777788,5.886520866111116,0.8267585486111118,223.75897499999996,41.80143600000006,0.9411764705882353,1000000.0000000005,36,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,449031.4200000006,550968.579999999,0.0,7483857,740901843,50412827.799999945,14.003563277777763,6.231585658611105,0.8752227048611102,243.1446375,44.90314200000006,0.9411764705882353,999999.9999999997,40,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,535403.2799999991,464596.72000000096,0.0,8923388,883415412,58186295.199999966,16.16285977777777,7.192472601111107,1.1544899841269836,253.8594857142857,53.54032799999991,0.8235294117647058,1000000.0,39,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,312644.7000000004,687355.2999999992,0.0,5210745,515863755,38138022.99999999,10.593895277777776,4.71428339861111,0.662118454861111,157.9029375,31.264470000000042,0.9411764705882353,999999.9999999997,41,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,12,5,466675.0799999993,533324.9200000007,0.0,7777918,770013882,52000757.19999991,14.444654777777753,6.4278713761111,1.2037212314814794,138.8959,46.667507999999934,0.7058823529411765,1000000.0,43,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,359696.10000000056,640303.8999999992,0.0,5994935,593498565,42372648.999999985,11.770180277777774,5.237730223611109,0.7356362673611109,187.3100625,35.96961000000006,0.9411764705882353,999999.9999999998,42,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,335598.4799999998,664401.5200000012,0.0,5593308,553737492,40203863.19999994,11.167739777777761,4.9696442011111035,0.6979837361111101,172.24905,33.55984799999998,0.9411764705882353,1000000.0000000009,44,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,17,0,317161.6199999995,682838.3799999994,0.0,5286027,523316673,38544545.8,10.706818277777778,4.764534133611111,0.629812839869281,186.56565882352945,31.716161999999947,1.0,999999.9999999988,45,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,471744.78000000084,528255.219999999,0.0,7862413,778378887,52457030.20000006,14.571397277777795,6.484271788611118,0.9107123298611122,257.3404875,47.17447800000008,0.9411764705882353,999999.9999999999,46,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,477959.49999999884,522040.5000000013,0.0,8279267,819647433,53016354.999999925,14.726765277777757,6.553410548611102,1.051911805555554,226.2543,47.795949999999884,0.8235294117647058,1000000.0000000001,47,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,394274.9799999995,605725.0200000006,0.0,6904583,683553717,45484748.200000055,12.634652277777793,5.622420263611118,0.9024751626984138,167.3392714285714,39.42749799999996,0.8235294117647058,1000000.0000000001,48,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,469335.60000000126,530664.3999999986,0.0,7822260,774403740,52240203.999999925,14.511167777777757,6.457469661111102,0.9674111851851838,232.89040000000006,46.93356000000013,0.8823529411764706,999999.9999999999,50,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,17,0,284124.4199999995,715875.5800000008,0.0,4735407,468805293,35571197.800000004,9.880888277777778,4.396995283611111,0.5812287222222222,167.13201176470585,28.412441999999952,1.0,1000000.0000000002,49,2e-06,False
