tag,arm,N,seed,k_active,alpha_case,alpha,energy_J,energy_kWh,saving_vs_MT100,energy_per_block_J
pilot,E50-PC80,300,9878713980055163606,240,LP0,0.0,8423999796.018009,2339.999943338336,0.20000001937150913,1403999966.0030015
pilot,E50-PC80,300,9878713980055163606,240,LP10,0.1,8634599816.416208,2398.4999490045025,0.18000001743435823,1439099969.4027014
pilot,E50-PC80,300,9878713980055163606,240,LP25,0.25,8950499847.013506,2486.249957503752,0.15000001452863188,1491749974.502251
pilot,E50-PC80,300,9878713980055163606,240,LP50,0.5,9476999898.009005,2632.4999716691677,0.10000000968575451,1579499983.0015008
pilot,E50-PC100,300,9878713980055163606,300,LP0,0.0,10529999745.022512,2924.99992917292,2.4214386273868627e-08,1504285677.860359
pilot,E50-PC100,300,9878713980055163606,300,LP10,0.1,10529999770.520262,2924.999936255628,2.1792947557663922e-08,1504285681.5028946
pilot,E50-PC100,300,9878713980055163606,300,LP25,0.25,10529999808.766884,2924.99994687969,1.816078976091262e-08,1504285686.9666977
pilot,E50-PC100,300,9878713980055163606,300,LP50,0.5,10529999872.511255,2924.99996458646,1.2107193247956616e-08,1504285696.0730364
pilot,E50-CONV100,500,6918711742289843946,500,LP0,0.0,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,E50-CONV100,500,6918711742289843946,500,LP10,0.1,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,E50-CONV100,500,6918711742289843946,500,LP25,0.25,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,E50-CONV100,500,6918711742289843946,500,LP50,0.5,17550000000.0,4875.0,0.0,1253571428.5714285
pilot,E50-MT100,500,6918711742289843946,500,LP0,0.0,17550000000.0,4875.0,0.0,
pilot,E50-MT100,500,6918711742289843946,500,LP10,0.1,17550000000.0,4875.0,0.0,
pilot,E50-MT100,500,6918711742289843946,500,LP25,0.25,17550000000.0,4875.0,0.0,
pilot,E50-MT100,500,6918711742289843946,500,LP50,0.5,17550000000.0,4875.0,0.0,
pilot,E50-PC10,500,6918711742289843946,50,LP0,0.0,1754999916.6419768,487.49997684499357,0.900000004749745,877499958.3209884
pilot,E50-PC10,500,6918711742289843946,50,LP10,0.1,3334499924.9777794,926.2499791604943,0.8100000042747704,1667249962.4888897
pilot,E50-PC10,500,6918711742289843946,50,LP25,0.25,5703749937.481483,1584.3749826337455,0.6750000035623087,2851874968.7407417
pilot,E50-PC10,500,6918711742289843946,50,LP50,0.5,9652499958.320988,2681.2499884224967,0.4500000023748725,4826249979.160494
pilot,E50-PC20,500,6918711742289843946,100,LP0,0.0,3509999833.2839537,974.9999536899871,0.8000000094994898,1754999916.6419768
pilot,E50-PC20,500,6918711742289843946,100,LP10,0.1,4913999849.955558,1364.9999583209883,0.7200000085495408,2456999924.977779
pilot,E50-PC20,500,6918711742289843946,100,LP25,0.25,7019999874.962965,1949.9999652674903,0.6000000071246174,3509999937.4814825
pilot,E50-PC20,500,6918711742289843946,100,LP50,0.5,10529999916.641975,2924.999976844993,0.40000000474974495,5264999958.320988
pilot,E50-PC30,500,6918711742289843946,150,LP0,0.0,5264999749.925931,1462.4999305349809,0.7000000142492346,1754999916.641977
pilot,E50-PC30,500,6918711742289843946,150,LP10,0.1,6493499774.933338,1803.749937481483,0.6300000128243113,2164499924.9777794
pilot,E50-PC30,500,6918711742289843946,150,LP25,0.25,8336249812.444449,2315.624947901236,0.5250000106869259,2778749937.481483
pilot,E50-PC30,500,6918711742289843946,150,LP50,0.5,11407499874.962967,3168.749965267491,0.3500000071246173,3802499958.320989
pilot,E50-PC40,500,6918711742289843946,200,LP0,0.0,7019999666.567907,1949.9999073799743,0.6000000189989796,1754999916.6419768
pilot,E50-PC40,500,6918711742289843946,200,LP10,0.1,8072999699.911116,2242.4999166419766,0.5400000170990817,2018249924.977779
pilot,E50-PC40,500,6918711742289843946,200,LP25,0.25,9652499749.92593,2681.2499305349806,0.45000001424923475,2413124937.4814825
pilot,E50-PC40,500,6918711742289843946,200,LP50,0.5,12284999833.283953,3412.499953689987,0.3000000094994899,3071249958.320988
pilot,E50-PC50,500,6918711742289843946,250,LP0,0.0,8774999583.209885,2437.499884224968,0.5000000237487245,2193749895.802471
pilot,E50-PC50,500,6918711742289843946,250,LP10,0.1,9652499624.888897,2681.249895802471,0.450000021373852,2413124906.222224
pilot,E50-PC50,500,6918711742289843946,250,LP25,0.25,10968749687.407413,3046.874913168726,0.37500001781154335,2742187421.8518534
pilot,E50-PC50,500,6918711742289843946,250,LP50,0.5,13162499791.604942,3656.249942112484,0.25000001187436227,3290624947.9012356
pilot,E50-PC60,500,6918711742289843946,300,LP0,0.0,10529999499.851862,2924.9998610699618,0.4000000284984694,1754999916.641977
pilot,E50-PC60,500,6918711742289843946,300,LP10,0.1,11231999549.866676,3119.999874962966,0.36000002564862243,1871999924.9777794
pilot,E50-PC60,500,6918711742289843946,300,LP25,0.25,12284999624.888897,3412.499895802471,0.30000002137385207,2047499937.4814827
pilot,E50-PC60,500,6918711742289843946,300,LP50,0.5,14039999749.925932,3899.999930534981,0.20000001424923464,2339999958.3209887
pilot,E50-PC80,500,6918711742289843946,400,LP0,0.0,14039999333.135815,3899.9998147599485,0.2000000379979593,1403999933.3135815
pilot,E50-PC80,500,6918711742289843946,400,LP10,0.1,14390999399.822233,3997.4998332839536,0.18000003419816335,1439099939.9822233
pilot,E50-PC80,500,6918711742289843946,400,LP25,0.25,14917499499.85186,4143.749861069961,0.1500000284984695,1491749949.985186
pilot,E50-PC80,500,6918711742289843946,400,LP50,0.5,15794999666.567907,4387.4999073799745,0.10000001899897959,1579499966.6567907
pilot,E50-PC100,500,6918711742289843946,500,LP0,0.0,17549999166.41977,4874.999768449936,4.7497449084943355e-08,1253571369.0299835
