tag,arm,N,seed,k_active,coverage_retention,block_ratio,median_latency_ratio,saving_LP0,saving_LP10,saving_LP25,saving_LP50
primary,E50-PC80,100,8177548632312565564,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,8177548632312565564,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,11117893399474783980,100,99.99999978285683,22.0,0.2552219150072468,0.0,0.0,0.0,0.0
primary,E50-PC10,100,11117893399474783980,10,9.999999968972457,5.0,0.21926379659102133,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,11117893399474783980,20,19.999999937944914,8.0,0.2029950075087632,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,11117893399474783980,30,29.99999990691737,11.0,0.21526783303537228,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,11117893399474783980,40,39.99999987588983,12.0,0.2474252673723543,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,11117893399474783980,50,49.99999984486229,14.0,0.3072362627781948,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,11117893399474783980,60,59.99999981383474,14.0,0.2560302189805251,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
primary,E50-PC80,100,11117893399474783980,80,79.99999975177965,19.0,0.2611177694736446,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,11117893399474783980,100,99.99999968972458,22.0,0.2552219151933441,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,10081885022360105039,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,10081885022360105039,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,10081885022360105039,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,10081885022360105039,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,10081885022360105039,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,10081885022360105039,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,10081885022360105039,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
primary,E50-PC80,100,10081885022360105039,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,10081885022360105039,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,4923552916831257795,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,4923552916831257795,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,4923552916831257795,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
