tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
primary,E50-PC40,100,5708610443790281403,40,8,1008.4357130147664,1088.3739493892367,1988.4111670684917,0
primary,E50-PC50,100,5708610443790281403,50,11,826.809363587936,824.8964646275076,1602.9079026140603,0
primary,E50-PC60,100,5708610443790281403,60,16,579.437647214487,400.8315414660018,1335.756585605349,0
primary,E50-PC80,100,5708610443790281403,80,19,513.0658535001593,515.5602905059111,1091.5925409999306,0
primary,E50-PC100,100,5708610443790281403,100,20,458.22269422869977,433.4971910364965,1044.078525847529,0
primary,E50-CONV100,100,4972874671198070758,100,19,518.0235317242732,468.6934739909562,1234.2282627092343,0
primary,E50-MT100,100,4972874671198070758,100,0,,,,0
primary,E50-PC10,100,4972874671198070758,10,2,3111.6614002769907,3111.6614002769907,1983.7441270281158,0
primary,E50-PC20,100,4972874671198070758,20,4,1368.4803309748015,1555.8307001497892,2119.789336782863,0
primary,E50-PC30,100,4972874671198070758,30,6,1372.3439533342973,1037.2204667541796,1562.3115814536898,0
primary,E50-PC40,100,4972874671198070758,40,8,1100.180966297776,1018.6037579701567,1648.587092790541,0
primary,E50-PC50,100,4972874671198070758,50,8,880.1447729945529,814.8830063635705,1318.8696741959368,0
primary,E50-PC60,100,4972874671198070758,60,9,1018.6288635932209,706.5964455792086,2057.047106425205,0
primary,E50-PC80,100,4972874671198070758,80,13,740.9402870358025,585.8668431156439,1542.7853299010953,0
primary,E50-PC100,100,4972874671198070758,100,19,518.0235322051856,468.6934743558543,1234.2282638485374,0
primary,E50-CONV100,100,15110839482730944980,100,6,1463.8905412930953,980.6203455609168,2137.167680809085,0
primary,E50-MT100,100,15110839482730944980,100,0,,,,0
primary,E50-PC10,100,15110839482730944980,10,1,8475.711888974718,8475.711888974718,8475.711888974718,0
primary,E50-PC20,100,15110839482730944980,20,2,2913.353837039938,2913.353837039938,1588.8517296549496,0
primary,E50-PC30,100,15110839482730944980,30,3,2532.234487651985,2825.2372963966245,2825.2372963966245,0
primary,E50-PC40,100,15110839482730944980,40,3,1899.1758657441883,2118.9279722711412,2118.9279722711412,0
primary,E50-PC50,100,15110839482730944980,50,3,1519.3406926233001,1695.1423778373808,1695.1423778373808,0
primary,E50-PC60,100,15110839482730944980,60,3,1266.1172438467968,1412.6186482238968,1412.6186482238968,0
primary,E50-PC80,100,15110839482730944980,80,4,1925.4227547477444,1225.775433179942,1392.086880106956,0
primary,E50-PC100,100,15110839482730944980,100,6,1463.8905426716974,980.6203464670737,2137.167682866768,0
primary,E50-CONV100,100,8623653743411919337,100,15,598.6217735863878,260.239462327303,1655.6398183000008,0
primary,E50-MT100,100,8623653743411919337,100,0,,,,0
primary,E50-PC10,100,8623653743411919337,10,4,2001.0792801347463,2173.8812443592897,2179.619180948376,0
primary,E50-PC20,100,8623653743411919337,20,6,1204.646936230196,1195.5034516067658,1558.115328127959,0
primary,E50-PC30,100,8623653743411919337,30,6,803.0979574832212,797.0023010548043,1038.7435521202667,0
primary,E50-PC40,100,8623653743411919337,40,8,1118.0624354791403,597.7517257473319,962.2628721675525,0
primary,E50-PC50,100,8623653743411919337,50,8,894.4499483818495,478.20138070730303,769.810297711447,0
primary,E50-PC60,100,8623653743411919337,60,12,735.7701851733551,378.43047861501407,2438.0863405377686,0
primary,E50-PC80,100,8623653743411919337,80,13,668.5754955509349,295.1933204729324,2069.549774857284,0
primary,E50-PC100,100,8623653743411919337,100,15,598.6217741434705,260.23946256980645,1655.639819775085,0
