tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
primary,E50-MT100,100,8177548632312565564,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,8177548632312565564,10,23399999978207051780,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,8177548632312565564,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,8177548632312565564,30,70199999934621155328,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,8177548632312565564,40,93599999912828207109,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,8177548632312565564,50,116999999891035258878,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,8177548632312565564,60,140399999869242310659,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,8177548632312565564,80,187199999825656414214,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,8177548632312565564,100,233999999782070517776,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,11117893399474783980,100,234000000000000000000,2.34e+16,99.99999978285683
primary,E50-MT100,100,11117893399474783980,100,2340000005081150191,234000000508115.0,1.0
primary,E50-PC10,100,11117893399474783980,10,23399999978207051783,2339999997820705.0,9.999999968972457
primary,E50-PC20,100,11117893399474783980,20,46799999956414103556,4679999995641410.0,19.999999937944914
primary,E50-PC30,100,11117893399474783980,30,70199999934621155331,7019999993462116.0,29.99999990691737
primary,E50-PC40,100,11117893399474783980,40,93599999912828207110,9359999991282820.0,39.99999987588983
primary,E50-PC50,100,11117893399474783980,50,116999999891035258884,1.1699999989103526e+16,49.99999984486229
primary,E50-PC60,100,11117893399474783980,60,140399999869242310667,1.4039999986924232e+16,59.99999981383474
primary,E50-PC80,100,11117893399474783980,80,187199999825656414226,1.871999998256564e+16,79.99999975177965
primary,E50-PC100,100,11117893399474783980,100,233999999782070517788,2.3399999978207052e+16,99.99999968972458
primary,E50-CONV100,100,10081885022360105039,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,10081885022360105039,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,10081885022360105039,10,23399999978207051781,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,10081885022360105039,20,46799999956414103554,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,10081885022360105039,30,70199999934621155330,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,10081885022360105039,40,93599999912828207109,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,10081885022360105039,50,116999999891035258880,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,10081885022360105039,60,140399999869242310658,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,10081885022360105039,80,187199999825656414223,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,10081885022360105039,100,233999999782070517780,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,4923552916831257795,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,4923552916831257795,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,4923552916831257795,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,4923552916831257795,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,4923552916831257795,30,70199999934621155327,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,4923552916831257795,40,93599999912828207105,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,4923552916831257795,50,116999999891035258880,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,4923552916831257795,60,140399999869242310667,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,4923552916831257795,80,187199999825656414230,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,4923552916831257795,100,233999999782070517780,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,6572291145813621428,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,6572291145813621428,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,6572291145813621428,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,6572291145813621428,20,46799999956414103551,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,6572291145813621428,30,70199999934621155326,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,6572291145813621428,40,93599999912828207104,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,6572291145813621428,50,116999999891035258878,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,6572291145813621428,60,140399999869242310660,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,6572291145813621428,80,187199999825656414213,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,6572291145813621428,100,233999999782070517760,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,17112478889879003015,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,17112478889879003015,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,17112478889879003015,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,17112478889879003015,20,46799999956414103551,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,17112478889879003015,30,70199999934621155327,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,17112478889879003015,40,93599999912828207103,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,17112478889879003015,50,116999999891035258880,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,17112478889879003015,60,140399999869242310662,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,17112478889879003015,80,187199999825656414229,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,17112478889879003015,100,233999999782070517788,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,9839921138141735050,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,9839921138141735050,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,9839921138141735050,10,23399999978207051782,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,9839921138141735050,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,9839921138141735050,30,70199999934621155329,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,9839921138141735050,40,93599999912828207110,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,9839921138141735050,50,116999999891035258876,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,9839921138141735050,60,140399999869242310656,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,9839921138141735050,80,187199999825656414212,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,9839921138141735050,100,233999999782070517768,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,76950829605806397,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,76950829605806397,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,76950829605806397,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,76950829605806397,20,46799999956414103553,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,76950829605806397,30,70199999934621155328,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,76950829605806397,40,93599999912828207109,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,76950829605806397,50,116999999891035258882,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,76950829605806397,60,140399999869242310664,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,76950829605806397,80,187199999825656414230,1.871999998256564e+16,79.99999980069124
