tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
primary,E50-PC100,100,1326031443968983885,100,233999999782070517800,233999999782070517800,0,0.0
primary,E50-CONV100,100,8177548632312565564,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,8177548632312565564,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,8177548632312565564,10,23399999978207051780,23399999978207051780,0,0.0
primary,E50-PC20,100,8177548632312565564,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,8177548632312565564,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,8177548632312565564,40,93599999912828207109,93599999912828207109,0,0.0
primary,E50-PC50,100,8177548632312565564,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,8177548632312565564,60,140399999869242310659,140399999869242310659,0,0.0
primary,E50-PC80,100,8177548632312565564,80,187199999825656414214,187199999825656414214,0,0.0
primary,E50-PC100,100,8177548632312565564,100,233999999782070517776,233999999782070517776,0,0.0
primary,E50-CONV100,100,11117893399474783980,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,11117893399474783980,100,234000000000000000000,2340000005081150191,231659999994918849809,0.9899999999782857
primary,E50-PC10,100,11117893399474783980,10,23399999978207051783,23399999978207051783,0,0.0
primary,E50-PC20,100,11117893399474783980,20,46799999956414103556,46799999956414103556,0,0.0
primary,E50-PC30,100,11117893399474783980,30,70199999934621155331,70199999934621155331,0,0.0
primary,E50-PC40,100,11117893399474783980,40,93599999912828207110,93599999912828207110,0,0.0
primary,E50-PC50,100,11117893399474783980,50,116999999891035258884,116999999891035258884,0,0.0
primary,E50-PC60,100,11117893399474783980,60,140399999869242310667,140399999869242310667,0,0.0
primary,E50-PC80,100,11117893399474783980,80,187199999825656414226,187199999825656414226,0,0.0
primary,E50-PC100,100,11117893399474783980,100,233999999782070517788,233999999782070517788,0,0.0
primary,E50-CONV100,100,10081885022360105039,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,10081885022360105039,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,10081885022360105039,10,23399999978207051781,23399999978207051781,0,0.0
primary,E50-PC20,100,10081885022360105039,20,46799999956414103554,46799999956414103554,0,0.0
primary,E50-PC30,100,10081885022360105039,30,70199999934621155330,70199999934621155330,0,0.0
primary,E50-PC40,100,10081885022360105039,40,93599999912828207109,93599999912828207109,0,0.0
primary,E50-PC50,100,10081885022360105039,50,116999999891035258880,116999999891035258880,0,0.0
primary,E50-PC60,100,10081885022360105039,60,140399999869242310658,140399999869242310658,0,0.0
primary,E50-PC80,100,10081885022360105039,80,187199999825656414223,187199999825656414223,0,0.0
primary,E50-PC100,100,10081885022360105039,100,233999999782070517780,233999999782070517780,0,0.0
primary,E50-CONV100,100,4923552916831257795,100,234000000000000000000,234000000000000000000,0,0.0
