tag,arm,N,seed,k_active,duty_min,duty_max,duty_sd,jain_index,duty_max_min_ratio,transitions_total,active_episode_s,low_episode_s
pilot,E50-PC100,500,6918711742289843946,500,0.9999998835846837,1.0,5.721383475166016e-08,0.9999999999999972,1.0000001164153298,544823680253,1.8354561965811966e-05,0.0
pilot,E50-CONV100,500,9878713980055163606,500,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-MT100,500,9878713980055163606,500,1.0,1.0,0.0,1.0,1.0,0,10000.0,0.0
pilot,E50-PC10,500,9878713980055163606,50,0.09999998835846836,0.1,5.721383481986511e-09,1.0000000000000173,1.00000011641533,544823680271,1.8354561965811965e-06,1.6519105769230768e-05
pilot,E50-PC20,500,9878713980055163606,100,0.19999997671693673,0.2,1.1442766963973022e-08,1.0000000000000173,1.00000011641533,544823680271,3.670912393162393e-06,1.4683649572649572e-05
pilot,E50-PC30,500,9878713980055163606,150,0.2999999650754051,0.3,1.7164150425498106e-08,0.9999999999999877,1.0000001164153298,544823680270,5.50636858974359e-06,1.2848193376068376e-05
pilot,E50-PC40,500,9878713980055163606,200,0.39999995343387346,0.4,2.2885533927946045e-08,1.0000000000000173,1.00000011641533,544823680270,7.341824786324786e-06,1.101273717948718e-05
pilot,E50-PC50,500,9878713980055163606,250,0.49999994179234186,0.5,2.860691737583008e-08,0.9999999999999972,1.0000001164153298,544823680270,9.177280982905983e-06,9.177280982905983e-06
pilot,E50-PC60,500,9878713980055163606,300,0.5999999301508102,0.6,3.432830085099621e-08,0.9999999999999877,1.0000001164153298,544823680266,1.101273717948718e-05,7.341824786324786e-06
pilot,E50-PC80,500,9878713980055163606,400,0.7999999068677469,0.8,4.577106785589209e-08,1.0000000000000173,1.00000011641533,544823680264,1.4683649572649572e-05,3.670912393162393e-06
pilot,E50-PC100,500,9878713980055163606,500,0.9999998835846837,1.0,5.721383475166016e-08,0.9999999999999972,1.0000001164153298,544823680264,1.8354561965811966e-05,0.0
