tag,arm,N,seed,k_active,rounds,accepted_blocks,C_total,U_exact,R_exact,rho_exact,t_active_miner_s,t_low_miner_s,F_low,epochs_completed,exhaustions,state_time_conservation_rel,work_identity_rel
primary,E50-PC20,100,5708610443790281403,20,6,5,46799999956414103553,46799999956414103553,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370561,1089647411220,0.0,0.0
primary,E50-PC30,100,5708610443790281403,30,8,7,70199999934621155330,70199999934621155330,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370561,1634471116830,0.0,0.0
primary,E50-PC40,100,5708610443790281403,40,9,8,93599999912828207108,93599999912828207108,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370560,2179294822400,0.0,0.0
primary,E50-PC50,100,5708610443790281403,50,12,11,116999999891035258882,116999999891035258882,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370559,2724118527950,0.0,0.0
primary,E50-PC60,100,5708610443790281403,60,17,16,140399999869242310665,140399999869242310665,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370558,3268942233480,0.0,0.0
primary,E50-PC80,100,5708610443790281403,80,20,19,187199999825656414220,187199999825656414220,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370557,4358589644560,0.0,0.0
primary,E50-PC100,100,5708610443790281403,100,21,20,233999999782070517776,233999999782070517776,0,0.0,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,54482370556,5448237055600,0.0,0.0
primary,E50-CONV100,100,4972874671198070758,100,20,19,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369700,54482369700,0.0,0.0
primary,E50-MT100,100,4972874671198070758,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,4972874671198070758,10,3,2,23399999978207051780,23399999978207051780,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370563,544823705630,0.0,0.0
primary,E50-PC20,100,4972874671198070758,20,5,4,46799999956414103551,46799999956414103551,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370562,1089647411240,0.0,0.0
primary,E50-PC30,100,4972874671198070758,30,7,6,70199999934621155329,70199999934621155329,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370560,1634471116800,0.0,0.0
