tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-PC100,100,8177548632312565564,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
primary,E50-CONV100,100,11117893399474783980,100,54482369400,54482369400,4294967391.781607,1.8354561503340198e-07
primary,E50-MT100,100,11117893399474783980,100,544823706,54482370600,4294967306.509145,1.8354561099072293e-05
primary,E50-PC10,100,11117893399474783980,10,54482370561,544823705610,429496729.62573737,1.8354561112211e-07
primary,E50-PC20,100,11117893399474783980,20,54482370559,1089647411180,858993459.2830077,1.835456111288478e-07
primary,E50-PC30,100,11117893399474783980,30,54482370559,1634471116770,1288490188.9245114,1.835456111288478e-07
primary,E50-PC40,100,11117893399474783980,40,54482370558,2179294822320,1717986918.5975482,1.835456111322167e-07
primary,E50-PC50,100,11117893399474783980,50,54482370558,2724118527900,2147483648.2469354,1.835456111322167e-07
primary,E50-PC60,100,11117893399474783980,60,54482370558,3268942233480,2576980377.8963223,1.835456111322167e-07
primary,E50-PC80,100,11117893399474783980,80,54482370555,4358589644400,3435973837.384294,1.8354561114232339e-07
primary,E50-PC100,100,11117893399474783980,100,54482370553,5448237055300,4294967296.888032,1.835456111490612e-07
primary,E50-CONV100,100,10081885022360105039,100,54482369300,54482369300,4294967399.66483,1.8354561537029192e-07
primary,E50-MT100,100,10081885022360105039,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,10081885022360105039,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,10081885022360105039,20,54482370561,1089647411220,858993459.2514747,1.8354561112211e-07
primary,E50-PC30,100,10081885022360105039,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,10081885022360105039,40,54482370559,2179294822360,1717986918.5660155,1.835456111288478e-07
primary,E50-PC50,100,10081885022360105039,50,54482370560,2724118528000,2147483648.168103,1.835456111254789e-07
primary,E50-PC60,100,10081885022360105039,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
