run_id,scenario_id,block_id,pair_id,master_seed,seed_index,condition,control_or_treatment,template_seed,adversarial_seed,num_miners,horizon_T,difficulty,config_sha256
A04-S12,A04,A,A03-S12,7113020691504941419,12,A04,TREATMENT,8186838090085453911,15680718854683426966,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S13,A04,A,A03-S13,17589586195462360652,13,A04,TREATMENT,5829204117060041738,4804898231906745974,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S14,A04,A,A03-S14,9841280377429304429,14,A04,TREATMENT,3426743007640780525,8112466945008198149,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S15,A04,A,A03-S15,15378190346746817772,15,A04,TREATMENT,5663219481463969684,7358855150582438391,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S16,A04,A,A03-S16,17392834523920745446,16,A04,TREATMENT,6824537507448365744,18349887623301676399,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S17,A04,A,A03-S17,6004902773991946938,17,A04,TREATMENT,4715227865861581916,2262219189337088363,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S18,A04,A,A03-S18,1276185860986598701,18,A04,TREATMENT,9511655153168452277,10436580739198981035,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S19,A04,A,A03-S19,18079315101168952395,19,A04,TREATMENT,6043571177915800040,12702549968641713946,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S20,A04,A,A03-S20,7204546077592663632,20,A04,TREATMENT,569641493284683202,13765921241000322430,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S21,A04,A,A03-S21,9956737151618003453,21,A04,TREATMENT,16877700863488327536,7386769304762975962,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S22,A04,A,A03-S22,16387267417201747712,22,A04,TREATMENT,2806097971093939155,12452745886917361139,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S23,A04,A,A03-S23,9291552872952191884,23,A04,TREATMENT,7757362910483186954,7789307205402291230,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S24,A04,A,A03-S24,6774698307268965035,24,A04,TREATMENT,1576580045019179932,4935217386166152489,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S25,A04,A,A03-S25,2397802915662912221,25,A04,TREATMENT,14619151551073477646,12920588218344506273,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S26,A04,A,A03-S26,16512734406278341016,26,A04,TREATMENT,14322377249768527931,13254837558786523102,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S27,A04,A,A03-S27,7759242425029944541,27,A04,TREATMENT,1149342802584957422,5649797684190372106,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S28,A04,A,A03-S28,11711687275972324145,28,A04,TREATMENT,1080364485313091703,6989550281425801118,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A04-S29,A04,A,A03-S29,4354161107732199298,29,A04,TREATMENT,958257433142140251,11054401464327553918,141,10000.0,1000,c7b1e28cb25fc8b4ac2d8c6c9b899f10fa06b4a60d3e16a93ea26a547741dff5
A05-S00,A05,A,A03-S00,7266343386191483739,0,A05,TREATMENT,12089769011917694374,1988348648956568175,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S01,A05,A,A03-S01,7327669731288643706,1,A05,TREATMENT,12962257606173152482,5324873478951682309,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S02,A05,A,A03-S02,14021529625252821637,2,A05,TREATMENT,10111987247277390914,7444505376397852194,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S03,A05,A,A03-S03,13015257401067502099,3,A05,TREATMENT,17270178139864731407,8641882922361671506,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S04,A05,A,A03-S04,4888788266148067928,4,A05,TREATMENT,2317428014290689691,5004527360990479258,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S05,A05,A,A03-S05,372686234733934361,5,A05,TREATMENT,4112462094266218956,12493455952218554452,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S06,A05,A,A03-S06,8946841158517248766,6,A05,TREATMENT,18344430265889267866,3607112505366798910,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
A05-S07,A05,A,A03-S07,9009703059525875822,7,A05,TREATMENT,17090463357186446524,16318870803467828902,141,10000.0,1000,02e420a958b6f3739b00bc13e1ba158bef59eefdbac00c3da6ffd29467c7de04
