accepted_block_interval_s,accepted_main_blocks,active_mining_time_s,aggregate_hashrate_THs,aggregate_power_W,co2_kg,config_hash,confirmation_time_6blk_s,created_block_interval_s,created_blocks,energy_kWh,energy_per_accepted_block_kWh,energy_per_tx_kWh,exhausted_rounds,idle_after_range,idle_miner_seconds,n_miners,pct_time_active,per_miner_energy_kwh_max,per_miner_energy_kwh_min,protocol,seed,sim_time,stale_blocks,stale_rate_pct,throughput_tx_per_s,total_hashes
867.2588116345164,12,1572041.3552785104,141.0,3031.5000000000045,1.9636215731430096,ba9649cc2ba5d2d6,5203.552869807098,833.3333333333334,12,4.412632748635984,0.36771939571966533,0.00019794692035869296,1,True,1427958.6447214892,300,52.40137850928368,0.014708775828786495,0.014708775828786495,PoCol,25,10000.0,0,0.0,2.2292,7.388594369809033e+17
1132.8407266371717,9,1954737.3310482537,141.0,3031.5000000000045,2.44164339582168,ba9649cc2ba5d2d6,6797.04435982303,1111.111111111111,9,5.486839091734105,0.6096487879704561,0.0003328786684301465,2,True,1045262.6689517311,300,65.15791103494179,0.01828946363911362,0.01828946363911362,PoCol,26,10000.0,0,0.0,1.6483,9.187265455926884e+17
1126.9204187884493,9,2116983.079564884,141.0,3031.5000000000045,2.644302982904541,ba9649cc2ba5d2d6,6761.522512730696,1111.111111111111,9,5.94225389416756,0.6602504326852844,0.00035544047698095224,2,True,883016.9204351278,300,70.56610265216278,0.019807512980558398,0.019807512980558398,PoCol,28,10000.0,0,0.0,1.6718,9.949820473954938e+17
812.276670463221,12,1646561.1767127123,141.0,3031.5000000000045,2.056703557598181,ba9649cc2ba5d2d6,4873.660022779326,833.3333333333334,12,4.621805747411641,0.3851504789509701,0.0002079271975621577,1,True,1353438.823287289,300,54.88537255709041,0.015406019158038744,0.015406019158038744,PoCol,27,10000.0,0,0.0,2.2228,7.738837530549646e+17
465.47055415530156,22,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,2792.823324931809,454.54545454545456,22,8.420833333333293,0.3827651515151497,0.0002068390973996191,1,False,0.0,300,100.0,0.028069444444444445,0.028069444444444445,PoCol,27,10000.0,0,0.0,4.0712,1.41e+18
767.0625040512999,13,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,4602.375024307799,769.2307692307693,13,8.420833333333293,0.6477564102564072,0.00035057590896474993,2,False,0.0,300,100.0,0.02806944444444445,0.02806944444444445,PoCol,29,10000.0,0,0.0,2.402,1.41e+18
603.3160178776127,16,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,3619.896107265676,625.0,16,8.420833333333293,0.5263020833333308,0.00028570378412612113,2,False,0.0,300,100.0,0.028069444444444452,0.028069444444444452,PoCol,28,10000.0,0,0.0,2.9474,1.41e+18
788.416121941292,9,2272044.7665156927,141.0,3031.5000000000045,2.8379890285306435,ba9649cc2ba5d2d6,4730.496731647752,1111.111111111111,9,6.377503434900311,0.7086114927667012,0.0003800657589332724,2,True,727955.2334842951,300,75.7348255505231,0.0212583447830011,0.0212583447830011,PoCol,29,10000.0,0,0.0,1.678,1.0678610402623852e+18
1043.488259978477,9,2323526.7219044575,141.0,3031.5000000000045,2.902294638487702,ba9649cc2ba5d2d6,6260.929559870861,1111.111111111111,9,6.522010423567905,0.7246678248408783,0.00039544112190431727,2,True,676473.2780955606,300,77.45089073014859,0.021740034745226285,0.021740034745226285,PoCol,30,10000.0,0,0.0,1.6493,1.092057559295081e+18
670.2084794879894,12,3000000.0,141.0,3031.5000000000045,3.7472708333333586,ba9649cc2ba5d2d6,4021.2508769279366,833.3333333333334,12,8.420833333333293,0.7017361111111078,0.00038156841421601765,3,False,0.0,300,100.0,0.028069444444444445,0.028069444444444445,PoCol,30,10000.0,0,0.0,2.2069,1.41e+18
828.5344947091933,11,2294829.508798946,141.0,3031.5000000000045,2.1498369214487614,5471969975f55178,4971.206968255159,909.0909090909091,11,4.831094205502822,0.4391903823184384,0.00023778580526174247,2,True,1705170.4912010527,400,57.370737719973654,0.012077735513756996,0.012077735513756996,PoCol,1,10000.0,0,0.0,2.0317,8.089274018516334e+17
592.220438794251,16,4000000.0,141.0,3031.5000000000045,3.747270833333305,5471969975f55178,3553.3226327655057,625.0,16,8.420833333333311,0.526302083333332,0.00028433391860255644,3,False,0.0,400,100.0,0.02105208333333333,0.02105208333333333,PoCol,1,10000.0,0,0.0,2.9616,1.41e+18
831.381082280257,12,2571304.1485189633,141.0,3031.5000000000045,2.408843259843503,5471969975f55178,4988.286493681542,833.3333333333334,12,5.413130920996673,0.45109424341638943,0.0002453933052720737,1,True,1428695.8514810537,400,64.28260371297408,0.013532827302491647,0.013532827302491647,PoCol,2,10000.0,0,0.0,2.2059,9.063847123529247e+17
