mode,N,seed,M,p_success,total_attempts,total_energy,completion_time,solution_found,winner_id,duplicate_header_evaluations
duplicate_full_domain,300,8,4294967296,4.656612873077393e-10,956125352700,956125352700.0,3187084509.0,True,0,952938268191
disjoint_partition,300,8,4294967296,4.656612873077393e-10,2642597700,2642597700.0,8808659.0,True,222,0
independent_candidate_headers,300,8,4294967296,4.656612873077393e-10,561679200,561679200.0,1872264.0,True,6,0
duplicate_full_domain,300,9,4294967296,4.656612873077393e-10,496076668500,496076668500.0,1653588895.0,True,0,494423079605
disjoint_partition,300,9,4294967296,4.656612873077393e-10,2155417500,2155417500.0,7184725.0,True,115,0
independent_candidate_headers,300,9,4294967296,4.656612873077393e-10,1312845600,1312845600.0,4376152.0,True,70,0
duplicate_full_domain,300,10,4294967296,4.656612873077393e-10,360559013700,360559013700.0,1201863379.0,True,0,359357150321
disjoint_partition,300,10,4294967296,4.656612873077393e-10,4076719500,4076719500.0,13589065.0,True,83,0
independent_candidate_headers,300,10,4294967296,4.656612873077393e-10,104398200,104398200.0,347994.0,True,238,0
duplicate_full_domain,300,11,4294967296,4.656612873077393e-10,511036940100,511036940100.0,1703456467.0,True,0,509333483633
disjoint_partition,300,11,4294967296,4.656612873077393e-10,4230786900,4230786900.0,14102623.0,True,118,0
independent_candidate_headers,300,11,4294967296,4.656612873077393e-10,413979300,413979300.0,1379931.0,True,163,0
duplicate_full_domain,300,12,4294967296,4.656612873077393e-10,480184678200,480184678200.0,1600615594.0,True,0,478584062606
disjoint_partition,300,12,4294967296,4.656612873077393e-10,3443296800,3443296800.0,11477656.0,True,111,0
independent_candidate_headers,300,12,4294967296,4.656612873077393e-10,970231800,970231800.0,3234106.0,True,99,0
duplicate_full_domain,300,13,4294967296,4.656612873077393e-10,870307110300,870307110300.0,2901023701.0,True,0,867406086599
disjoint_partition,300,13,4294967296,4.656612873077393e-10,2723697300,2723697300.0,9078991.0,True,202,0
independent_candidate_headers,300,13,4294967296,4.656612873077393e-10,239976000,239976000.0,799920.0,True,202,0
duplicate_full_domain,300,14,4294967296,4.656612873077393e-10,1288490188800,1288490188800.0,4294967296.0,False,,1284195221504
disjoint_partition,300,14,4294967296,4.656612873077393e-10,4294967296,4294967296.0,14316558.0,False,,0
independent_candidate_headers,300,14,4294967296,4.656612873077393e-10,632672400,632672400.0,2108908.0,True,280,0
duplicate_full_domain,300,15,4294967296,4.656612873077393e-10,22790998500,22790998500.0,75969995.0,True,0,22715028505
disjoint_partition,300,15,4294967296,4.656612873077393e-10,1316161500,1316161500.0,4387205.0,True,5,0
independent_candidate_headers,300,15,4294967296,4.656612873077393e-10,118401300,118401300.0,394671.0,True,9,0
duplicate_full_domain,300,16,4294967296,4.656612873077393e-10,655474440000,655474440000.0,2184914800.0,True,0,653289525200
disjoint_partition,300,16,4294967296,4.656612873077393e-10,2639395200,2639395200.0,8797984.0,True,152,0
independent_candidate_headers,300,16,4294967296,4.656612873077393e-10,1657046100,1657046100.0,5523487.0,True,180,0
duplicate_full_domain,300,17,4294967296,4.656612873077393e-10,418835664600,418835664600.0,1396118882.0,True,0,417439545718
disjoint_partition,300,17,4294967296,4.656612873077393e-10,2223826800,2223826800.0,7412756.0,True,97,0
independent_candidate_headers,300,17,4294967296,4.656612873077393e-10,1001287200,1001287200.0,3337624.0,True,17,0
duplicate_full_domain,300,18,4294967296,4.656612873077393e-10,1100239184700,1100239184700.0,3667463949.0,True,0,1096571720751
disjoint_partition,300,18,4294967296,4.656612873077393e-10,727548300,727548300.0,2425161.0,True,256,0
independent_candidate_headers,300,18,4294967296,4.656612873077393e-10,2358952500,2358952500.0,7863175.0,True,178,0
duplicate_full_domain,300,19,4294967296,4.656612873077393e-10,251189979600,251189979600.0,837299932.0,True,0,250352679668
disjoint_partition,300,19,4294967296,4.656612873077393e-10,2081870400,2081870400.0,6939568.0,True,58,0
independent_candidate_headers,300,19,4294967296,4.656612873077393e-10,2053943400,2053943400.0,6846478.0,True,5,0
duplicate_full_domain,300,20,4294967296,4.656612873077393e-10,63853554000,63853554000.0,212845180.0,True,0,63640708820
disjoint_partition,300,20,4294967296,4.656612873077393e-10,3724010400,3724010400.0,12413368.0,True,14,0
independent_candidate_headers,300,20,4294967296,4.656612873077393e-10,2156603700,2156603700.0,7188679.0,True,222,0
duplicate_full_domain,300,21,4294967296,4.656612873077393e-10,1161004414800,1161004414800.0,3870014716.0,True,0,1157134400084
disjoint_partition,300,21,4294967296,4.656612873077393e-10,1363239000,1363239000.0,4544130.0,True,270,0
independent_candidate_headers,300,21,4294967296,4.656612873077393e-10,1573098300,1573098300.0,5243661.0,True,18,0
duplicate_full_domain,300,22,4294967296,4.656612873077393e-10,27502156800,27502156800.0,91673856.0,True,0,27410482944
disjoint_partition,300,22,4294967296,4.656612873077393e-10,1732352400,1732352400.0,5774508.0,True,6,0
independent_candidate_headers,300,22,4294967296,4.656612873077393e-10,882799500,882799500.0,2942665.0,True,3,0
duplicate_full_domain,300,23,4294967296,4.656612873077393e-10,50320197300,50320197300.0,167733991.0,True,0,50152463309
disjoint_partition,300,23,4294967296,4.656612873077393e-10,3075555900,3075555900.0,10251853.0,True,11,0
independent_candidate_headers,300,23,4294967296,4.656612873077393e-10,7635849000,7635849000.0,25452830.0,True,75,0
duplicate_full_domain,300,24,4294967296,4.656612873077393e-10,218525203800,218525203800.0,728417346.0,True,0,217796786454
disjoint_partition,300,24,4294967296,4.656612873077393e-10,3776833800,3776833800.0,12589446.0,True,50,0
independent_candidate_headers,300,24,4294967296,4.656612873077393e-10,1107360000,1107360000.0,3691200.0,True,3,0
