N,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,q1_difference,q3_difference,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
300,median_block_interval,latency,30,456.2049573563028,456.44111869028893,0.2361613339861132,0.0,4.146717683881796,1.241044370504369,0.0,1.241044370504369,-1.312248496578684,1.7845711645509106,0.0,3.410605131648481e-13,0.0005176649884619024,3,16,11,3.2806521616759154e-09,False,0.31193560713691654,0.7573212189599666,19.5,0.03825291382349293,Wilcoxon signed-rank,0.03825291382349293,0.19126456911746467,0.056951389505986216,0.6285714285714286
300,energy_kWh_LP0,energy_LP0,30,2925.0,2917.879855369531,-7.1201446304685,-6.93150533921721,1.4586824799435656,1.800368820171684,-7.983225467213174,-6.18285664704149,-7.6648256200609515,-6.575463640876049,-7.8064412180197,-6.442482696591696,-0.0024342374805020515,30,0,0,0.915179098726853,True,-26.735522503552406,5.544007745154441e-22,0.0,1.862645149230957e-09,paired t-test,5.544007745154441e-22,2.7720038725772208e-21,-4.881216253960882,-1.0
300,energy_kWh_LP10,energy_LP10,30,2925.0,2918.591869832579,-6.4081301674215565,-6.2383548052955575,1.312814231949226,1.6203319381545498,-7.184902920491709,-5.564570982337159,-6.898343058054769,-5.917917276788344,-7.02579709621773,-5.798234426932595,-0.0021908137324518143,30,0,0,0.9151790987270105,True,-26.73552250355167,5.544007745158703e-22,0.0,1.862645149230957e-09,paired t-test,5.544007745158703e-22,2.7720038725793517e-21,-4.881216253960748,-1.0
300,energy_kWh_LP25,energy_LP25,30,2925.0,2919.6598915271484,-5.340108472851322,-5.198629004412851,1.0940118599576278,1.3502766151289052,-5.987419100409738,-4.637142485280833,-5.748619215045643,-4.931597730657002,-5.854830913514434,-4.8318620224440565,-0.0018256781103765205,30,0,0,0.9151790987268713,True,-26.735522503553273,5.544007745149438e-22,0.0,1.862645149230957e-09,paired t-test,5.544007745149438e-22,2.7720038725747193e-21,-4.88121625396104,-1.0
300,energy_kWh_LP50,energy_LP50,30,2925.0,2921.4399276847666,-3.560072315234038,-3.4657526696089462,0.7293412399717639,0.9001844100860126,-3.991612733606189,-3.0914283235201765,-3.8324128100302564,-3.2877318204378194,-3.903220609010077,-3.221241348296644,-0.001217118740250953,30,0,0,0.9151790987262727,True,-26.7355225035515,5.544007745159711e-22,0.0,1.862645149230957e-09,paired t-test,5.544007745159711e-22,2.7720038725798558e-21,-4.881216253960717,-1.0
400,accepted_blocks,service,30,17.266666666666666,17.166666666666668,-0.1,0.0,0.30512857662936466,0.0,0.0,0.0,-0.21393688301366892,0.013936883013668896,0.0,0.0,-0.005791505791505792,3,27,0,1.7832852565313753e-10,False,-1.7950549357115015,0.08307466551442913,0.0,0.0832645166635504,Wilcoxon signed-rank,0.0832645166635504,0.3330580666542016,-0.32773069341672506,-1.0
400,total_evaluations,work,30,9.359999999999996e+20,9.338278164609709e+20,-2.172183539029019e+18,-2.167251700235436e+18,5.5453035997942016e+17,6.963803795258081e+17,-2.496654442801234e+18,-1.8002740632754258e+18,-2.379248578464013e+18,-1.9651184995940252e+18,-2.397205726382457e+18,-1.951204440073306e+18,-0.002320708909219038,30,0,0,0.992940640349316,True,-21.455162949270285,2.426649872680961e-19,0.0,1.862645149230957e-09,paired t-test,2.426649872680961e-19,3.8976946576973036e-19,-3.9171589074214683,-1.0
400,unique_evaluations,work,30,9.359999999999996e+20,9.338278164609709e+20,-2.172183539029019e+18,-2.167251700235436e+18,5.5453035997942016e+17,6.963803795258081e+17,-2.496654442801234e+18,-1.8002740632754258e+18,-2.379248578464013e+18,-1.9651184995940252e+18,-2.397205726382457e+18,-1.951204440073306e+18,-0.002320708909219038,30,0,0,0.992940640349316,True,-21.455162949270285,2.426649872680961e-19,0.0,1.862645149230957e-09,paired t-test,2.426649872680961e-19,3.8976946576973036e-19,-3.9171589074214683,-1.0
400,duplicate_evaluations,work,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,30,0,,False,,,,,Wilcoxon signed-rank,,0.0,,0.0
400,active_miner_seconds,active_time,30,4000000.0,3990717.1643631244,-9282.835636876383,-9261.759402715601,2369.787863160337,2975.9845278891735,-10669.463430774631,-7693.4789028854575,-10167.728967795318,-8397.94230595745,-10244.468916161684,-8338.480513134738,-0.0023207089092190957,30,0,0,0.9929406403492173,True,-21.455162949267013,2.4266498726910773e-19,0.0,1.862645149230957e-09,paired t-test,2.4266498726910773e-19,3.8976946576568567e-19,-3.9171589074208697,-1.0
