composition,N,protocol,alpha_case,alpha,is_idealized_alpha,EnergySaving_mean,EnergySaving_boot_ci_low,saving_gt_50pct,saving_gt_50pct_ci_lower,BlockRetention_mean,retention_ge_90pct,retention_ge_95pct,LatencyRatio_median,latency_le_1p10,outcome
H0,500,P4_RESERVE,alpha_0,0.0,True,0.42181150104671805,0.402447687717,False,False,0.5902584184435038,False,False,1.9761203492383013,False,D
H0,500,P4_RESERVE,alpha_005,0.05,False,0.40072092599438214,0.38232530333114995,False,False,0.5902584184435038,False,False,1.9761203492383013,False,D
H0,500,P4_RESERVE,alpha_010,0.1,False,0.37963035094204634,0.3622029189452999,False,False,0.5902584184435038,False,False,1.9761203492383013,False,D
H0,500,P4_RESERVE,alpha_025,0.25,False,0.31635862578503865,0.30183576578775,False,False,0.5902584184435038,False,False,1.9761203492383013,False,D
H0,500,P4_RESERVE,alpha_050,0.5,False,0.21090575052335903,0.20122384385849992,False,False,0.5902584184435038,False,False,1.9761203492383013,False,D
H2,100,P0_ALL,alpha_0,0.0,True,0.0019026999437492566,0.0017525238688010146,False,False,0.9986111111111112,True,True,0.9982760158173218,True,D
H2,100,P0_ALL,alpha_005,0.05,False,0.0018075649465618066,0.001664897675360963,False,False,0.9986111111111112,True,True,0.9982760158173218,True,D
H2,100,P0_ALL,alpha_010,0.1,False,0.0017124299493743102,0.0015772714819208894,False,False,0.9986111111111112,True,True,0.9982760158173218,True,D
H2,100,P0_ALL,alpha_025,0.25,False,0.00142702495781193,0.001314392901600734,False,False,0.9986111111111112,True,True,0.9982760158173218,True,D
H2,100,P0_ALL,alpha_050,0.5,False,0.0009513499718745699,0.0008762619344004907,False,False,0.9986111111111112,True,True,0.9982760158173218,True,D
H2,100,P3_ENERGY,alpha_0,0.0,True,0.5327700565664878,0.532699170216448,True,True,0.6448348695221761,False,False,1.8083422619970109,False,C (idealized alpha)
H2,100,P3_ENERGY,alpha_005,0.05,False,0.5061315537381634,0.5060642117056257,True,True,0.6448348695221761,False,False,1.8083422619970109,False,C
H2,100,P3_ENERGY,alpha_010,0.1,False,0.47949305090983896,0.4794292531948032,False,False,0.6448348695221761,False,False,1.8083422619970109,False,D
H2,100,P3_ENERGY,alpha_025,0.25,False,0.3995775424248658,0.39952437766233584,False,False,0.6448348695221761,False,False,1.8083422619970109,False,D
H2,100,P3_ENERGY,alpha_050,0.5,False,0.26638502828324384,0.266349585108224,False,False,0.6448348695221761,False,False,1.8083422619970109,False,D
H2,100,P4_RESERVE,alpha_0,0.0,True,0.46850526754814953,0.4559643250340312,False,False,0.5974729630248207,False,False,2.0624464439217176,False,D
H2,100,P4_RESERVE,alpha_005,0.05,False,0.44508000417074206,0.43316610878232964,False,False,0.5974729630248207,False,False,2.0624464439217176,False,D
H2,100,P4_RESERVE,alpha_010,0.1,False,0.4216547407933345,0.410367892530628,False,False,0.5974729630248207,False,False,2.0624464439217176,False,D
H2,100,P4_RESERVE,alpha_025,0.25,False,0.3513789506611121,0.3419732437755234,False,False,0.5974729630248207,False,False,2.0624464439217176,False,D
H2,100,P4_RESERVE,alpha_050,0.5,False,0.23425263377407474,0.2279821625170156,False,False,0.5974729630248207,False,False,2.0624464439217176,False,D
H2,300,P0_ALL,alpha_0,0.0,True,0.002305821504058133,0.0021378923580632598,False,False,0.9953823953823954,True,True,0.9970457700167793,True,D
H2,300,P0_ALL,alpha_005,0.05,False,0.0021905304288552304,0.0020309977401601386,False,False,0.9953823953823954,True,True,0.9970457700167793,True,D
H2,300,P0_ALL,alpha_010,0.1,False,0.002075239353652343,0.0019241031222569879,False,False,0.9953823953823954,True,True,0.9970457700167793,True,D
