composition,N,protocol,alpha_case,alpha,is_idealized_alpha,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,EnergySaving_mean,EnergySaving_median,EnergySaving_sd,EnergySaving_ci95_low,EnergySaving_ci95_high,EnergySaving_boot_ci95_low,EnergySaving_boot_ci95_high,exceeds_50pct_mean,exceeds_50pct_ci_lower,exceeds_50pct_boot_ci_lower,one_sided_p_greater_50pct,seed_fraction_exceeding_50pct
H0,500,P0_ALL,alpha_025,0.25,False,30,4875.0,4865.755330457508,0.0018963424702551,0.0019909616743552,0.00040868971738258644,0.0017437352217545086,0.0020489497187556912,0.0017511024779576431,0.0020364269934169655,False,False,False,1.0,0.0
H0,500,P0_ALL,alpha_050,0.5,False,30,4875.0,4868.83688697167,0.0012642283135034069,0.0013273077829036501,0.00027245981158839546,0.0011624901478363443,0.0013659664791704695,0.001167401651971719,0.0013576179956112538,False,False,False,1.0,0.0
H0,500,P3_ENERGY,alpha_0,0.0,True,30,4875.0,2925.9743433081944,0.3998001347060113,0.3998463909755373,0.0002897629766017842,0.3996919354323429,0.3999083339796797,0.3996944646845981,0.39989945186251635,False,False,False,1.0,0.0
H0,500,P3_ENERGY,alpha_005,0.05,False,30,4875.0,3023.4256261427854,0.3798101279707108,0.37985407142676053,0.00027527482777171147,0.3797073386607258,0.37991291728069576,0.3797097414503683,0.3799044792693906,False,False,False,1.0,0.0
H0,500,P3_ENERGY,alpha_010,0.1,False,30,4875.0,3120.876908977375,0.3598201212354102,0.35986175187798364,0.00026078667894160893,0.35972274188910863,0.35991750058171174,0.35972501821613834,0.35990950667626476,False,False,False,1.0,0.0
H0,500,P3_ENERGY,alpha_025,0.25,False,30,4875.0,3413.230757481146,0.2998501010295085,0.29988479323165296,0.00021732223245134584,0.2997689515742572,0.29993125048475977,0.29977084851344865,0.2999245888968872,False,False,False,1.0,0.0
H0,500,P3_ENERGY,alpha_050,0.5,False,30,4875.0,3900.4871716540965,0.19990006735300567,0.19992319548776866,0.00014488148830086228,0.19984596771617147,0.19995416698983987,0.1998472323422991,0.19994972593125818,False,False,False,1.0,0.0
H0,500,P4_RESERVE,alpha_0,0.0,True,30,4875.0,2818.668932397248,0.42181150104671805,0.4326428857619332,0.05232027988387021,0.40227478746117956,0.44134821463225654,0.402447687717,0.43914471758465856,False,False,False,0.9999999974874952,0.0
H0,500,P4_RESERVE,alpha_005,0.05,False,30,4875.0,2921.485485777387,0.40072092599438214,0.41101074147383654,0.04970426588967674,0.38216104808812057,0.4192808039006437,0.38232530333114995,0.41718748170542563,False,False,False,0.9999999999958645,0.0
H0,500,P4_RESERVE,alpha_010,0.1,False,30,4875.0,3024.302039157524,0.37963035094204634,0.38937859718573986,0.04708825189548322,0.3620473087150617,0.397213393169031,0.3622029189452999,0.39523024582619265,False,False,False,0.9999999999999902,0.0
H0,500,P4_RESERVE,alpha_025,0.25,False,30,4875.0,3332.751699297937,0.31635862578503865,0.3244821643214497,0.039240209912902696,0.30170609059588477,0.33101116097419253,0.30183576578775,0.32935853818849403,False,False,False,1.0,0.0
H0,500,P4_RESERVE,alpha_050,0.5,False,30,4875.0,3846.8344661986243,0.21090575052335903,0.21632144288096625,0.026160139941935136,0.20113739373058975,0.2206741073161283,0.20122384385849992,0.21957235879232936,False,False,False,1.0,0.0
H2,100,P0_ALL,alpha_0,0.0,True,30,913.6111111111109,911.8727833013911,0.0019026999437492566,0.0018577465938874,0.0004408931084502861,0.0017380677513995652,0.002067332136098948,0.0017525238688010146,0.002061355298727092,False,False,False,1.0,0.0
H2,100,P0_ALL,alpha_005,0.05,False,30,913.6111111111109,911.9596996918771,0.0018075649465618066,0.001764859264193,0.0004188484530277874,0.001651164363829594,0.001963965529294019,0.001664897675360963,0.001958287533790743,False,False,False,1.0,0.0
H2,100,P0_ALL,alpha_010,0.1,False,30,913.6111111111109,912.0466160823632,0.0017124299493743102,0.00167197193449865,0.00039680379760528525,0.0015642609762595776,0.0018605989224890428,0.0015772714819208894,0.001855219768854367,False,False,False,1.0,0.0
H2,100,P0_ALL,alpha_025,0.25,False,30,913.6111111111109,912.3073652538211,0.00142702495781193,0.0013933099454155,0.0003306698313377186,0.00130355081354966,0.0015504991020742001,0.001314392901600734,0.0015460164740452897,False,False,False,1.0,0.0
H2,100,P0_ALL,alpha_050,0.5,False,30,913.6111111111109,912.741947206251,0.0009513499718745699,0.00092887329694365,0.00022044655422514018,0.0008690338756997253,0.0010336660680494143,0.0008762619344004907,0.0010306776493634957,False,False,False,1.0,0.0
