composition,N,protocol,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,ci95_mean_low,ci95_mean_high,boot_ci95_low,boot_ci95_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
H2,300,P0_ALL,energy_kWh_alpha_025,energy_alpha_025,30,2740.8333333333326,2736.0934290040536,-4.739904329279125,-4.96000112842944,0.9958942345560586,1.3723896512326519,-5.111777348024368,-4.368031310533882,-5.097186883984064,-4.394704978543417,-0.0017293661280434636,30,0,0,0.5082452692774537,True,-26.06855659446469,1.121244526251513e-21,0.0,1.862645149230957e-09,paired t-test,1.121244526251513e-21,6.7274671575090775e-21,-4.759445496129456,-1.0
H2,300,P0_ALL,energy_kWh_alpha_050,energy_alpha_050,30,2740.8333333333326,2737.6733971138133,-3.159936219519371,-3.3066674189533387,0.6639294897039798,0.9149264341544949,-3.407851565349511,-2.9120208736892312,-3.398124589322759,-2.929803319028917,-0.0011529107520289591,30,0,0,0.5082452692785082,True,-26.06855659446665,1.1212445262491646e-21,0.0,1.862645149230957e-09,paired t-test,1.1212445262491646e-21,6.727467157494987e-21,-4.759445496129812,-1.0
H2,300,P3_ENERGY,accepted_blocks,accepted_blocks,30,17.7,11.333333333333334,-6.366666666666666,-7.0,2.930026872106187,4.0,-7.460756681577257,-5.272576651756076,-7.433333333333334,-5.333333333333333,-0.35969868173258,30,0,0,0.19667147301863713,True,-11.901484531242136,1.1066755610301715e-12,0.0,1.658348408536204e-06,paired t-test,1.1066755610301715e-12,7.746728927211201e-12,-2.172903848520039,-1.0
H2,300,P3_ENERGY,total_evaluations,total_evaluations,30,5.069999999999999e+20,3.0343625965148104e+20,-2.035637403485189e+20,-2.03561690434943e+20,1.1085964684426904e+17,1.286843667454034e+17,-2.036051360209694e+20,-2.035223446760684e+20,-2.0360323943484647e+20,-2.0352513499523862e+20,-0.40150639121995846,30,0,0,0.6628975206040975,True,-10057.442509773991,1.993553542449371e-96,0.0,1.862645149230957e-09,paired t-test,1.993553542449371e-96,1.3954874797145599e-95,-1836.2293778048622,-1.0
H2,300,P3_ENERGY,mean_h_active_fraction,mean_h_active_fraction,30,1.0,0.5984936087800413,-0.4015063912199585,-0.4015023479979154,0.00021865808056070103,0.0002538153190231873,-0.4015880394890916,-0.4014247429508254,-0.40158429868806017,-0.4014302465389324,-0.4015063912199585,30,0,0,0.6628975206068692,True,-10057.442509773413,1.9935535424526993e-96,0.0,1.862645149230957e-09,paired t-test,1.9935535424526993e-96,1.3954874797168895e-95,-1836.2293778047572,-1.0
H2,300,P3_ENERGY,median_block_interval,median_block_interval,30,425.1267833904724,693.2201851232278,268.0934017327555,240.66379204620011,249.48773300390903,275.41563699479764,174.93315118322954,361.2536522822815,177.89753239682352,356.070766463891,0.6306198814260918,2,0,28,0.44718404427201813,True,5.885692329611414,2.180468296307145e-06,32.0,5.144625902175903e-06,paired t-test,2.180468296307145e-06,6.541404888921435e-06,1.0745754851544342,0.8623655913978494
H2,300,P3_ENERGY,energy_kWh_alpha_0,energy_alpha_0,30,2740.8333333333326,1264.3177485478377,-1476.515584785495,-1476.5070434789286,0.4619151951844213,0.5361848614386417,-1476.6880667540388,-1476.3431028169514,-1476.6801643118602,-1476.3547291468274,-0.5387104596359363,30,0,0,0.6628975206030248,True,-17507.99498968772,2.0792766781223299e-103,0.0,1.862645149230957e-09,paired t-test,2.0792766781223299e-103,1.8713490103100968e-102,-3196.5079308464638,-1.0
H2,300,P3_ENERGY,energy_kWh_alpha_005,energy_alpha_005,30,2740.8333333333326,1338.1435277871126,-1402.6898055462204,-1402.681691304982,0.4388194354252372,0.5093756183664482,-1402.853663416337,-1402.525947676104,-1402.8461560962664,-1402.5369926894862,-0.5117749366541395,30,0,0,0.6628975206035288,True,-17507.994989686245,2.079276678127404e-103,0.0,1.862645149230957e-09,paired t-test,2.079276678127404e-103,1.8713490103146635e-102,-3196.507930846195,-1.0
H2,300,P3_ENERGY,energy_kWh_alpha_010,energy_alpha_010,30,2740.8333333333326,1411.9693070263877,-1328.8640263069456,-1328.8563391310358,0.41572367566599044,0.4825663752942546,-1329.019260078635,-1328.7087925352562,-1329.0121478806736,-1328.7192562321443,-0.4848394136723427,30,0,0,0.6628975206025793,True,-17507.994989687246,2.0792766781239597e-103,0.0,1.862645149230957e-09,paired t-test,2.0792766781239597e-103,1.8713490103115636e-102,-3196.5079308463773,-1.0
H2,300,P3_ENERGY,energy_kWh_alpha_025,energy_alpha_025,30,2740.8333333333326,1633.4466447442117,-1107.3866885891216,-1107.3802826091965,0.3464363963883128,0.40213864607903815,-1107.5160500655293,-1107.257327112714,-1107.5101232338945,-1107.2660468601202,-0.40403284472695233,30,0,0,0.6628975206034241,True,-17507.994989687882,2.0792766781217705e-103,0.0,1.862645149230957e-09,paired t-test,2.0792766781217705e-103,1.8713490103095936e-102,-3196.507930846494,-1.0
