tag,arm,N,seed,rounds,accepted_blocks,stale_blocks,mean_interval_s,median_interval_s,p95_interval_s,C_total_evaluations,t_active_miner_s,t_low_miner_s,f_low_time,template_epochs_completed,nonce_domain_exhaustions,nonce_resets,state_time_conservation_rel,work_identity_rel,run_C_nonce,run_U_nonce,run_R_nonce,run_rho_nonce,run_M_ge2,run_M_ge3,run_m_max,run_mean_mult_reused,run_O_mean,run_O_median,run_O_p95,run_O_max,run_C_exact,run_U_exact,run_R_exact,run_rho_exact,epoch_C_nonce,epoch_U_nonce,epoch_rho_nonce,epoch_C_exact,epoch_U_exact,epoch_rho_exact,epoch_M_ge2,epoch_M_ge3,epoch_m_max,epoch_mean_mult_reused,epoch_R_nonce,epoch_R_exact,epoch_O_mean,epoch_O_median,epoch_O_p95,epoch_O_max,mean_round_rho_nonce,mean_round_rho_exact,mean_round_U_nonce,mean_round_M_ge2,mean_round_M_ge3,mean_round_m_max,mean_round_mean_mult_reused,mean_round_O_mean,mean_round_O_median,mean_round_O_p95,mean_round_O_max,mean_subsweep_rho_nonce,mean_subsweep_rho_exact,mean_subsweep_M_ge2,mean_subsweep_M_ge3,mean_subsweep_m_max,mean_subsweep_mean_mult_reused,mean_subsweep_O_mean,mean_subsweep_O_median,mean_subsweep_O_p95,mean_subsweep_O_max,mean_subsweep_U_nonce,mean_subsweep_C_nonce
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,12,11,0,903.7771418300279,331.39278561271914,2260.097670236716,234000000000000000000,1000000.0,0.0,0.0,54482370100,54482370100,54482371300,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999987807161,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.9900000000000001,0.0,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,12,11,0,903.7771418300279,331.39278561271914,2260.097670236716,234000000000000000000,1000000.0,0.0,0.0,54482370100,54482370100,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999987807161,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.1635324376866021,0.0,329226502.0,21956726.0,3.0,2.0666918545943784,75381.8088888889,0.0,0.0,21467346.0,1796300372.0,2147483600.0
primary,XNR-PW-MT-ZERO,100,16363268894485278985,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,54482370700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.99,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.99,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.9899999999843996,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.1635324376866021,0.1635324376866021,329226502.0,21956726.0,3.0,2.066691854594379,75381.80888888889,0.0,0.0,21467346.0,1796300372.0,2147483600.0
primary,XNR-PC,100,16363268894485278985,12,11,0,903.7771426646331,331.3927859534029,2260.0976723345834,233999999782070517768,999999.9990686774,0.0009313225736410257,9.313225736410256e-10,54482370558,5448237055800,5448237055800,0.0,0.0,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,0,0,1,0.0,0.0,0.0,0.0,0,233999999782070517768,233999999782070517768,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999987807161,0.0,4294967296.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2147483600.0,2147483600.0
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,18,17,0,527.291622239726,384.11255708012675,1696.2727149761868,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,54482371500,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999797086985,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.0,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,18,17,0,527.291622239726,384.11255708012675,1696.2727149761868,234000000000000000000,1000000.0,0.0,0.0,54482369700,54482369700,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,234000000000000000000,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999797086985,0.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.23320902473946725,0.0,356126124.0,104905643.0,5.0,2.4062786250412795,138777.87515151515,0.0,0.0,21106266.0,1646671044.0,2147483600.0
primary,XNR-PW-MT-ZERO,100,16585534704111605887,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,54482370700,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.99,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.99,0.99,21474836.0,21474836.0,100.0,100.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,2147483600.0
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,1,0,0,,,,234000000000000000000,1000000.0,0.0,0.0,544823706,54482370600,0,0.0,0.0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,429496729600,4294967296,0.99,429496729600,4294967296,0.99,4294967296,4294967296,100,100.0,425201762304,425201762304,4294967296.0,4294967296.0,4294967296.0,4294967296,0.9999999999816455,0.9899999999843996,4294967296.0,4294967296.0,4294967296.0,100.0,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,0.23320902473946717,0.23320902473946717,356126124.0,104905643.0,5.0,2.406278625041279,138777.87515151515,0.0,0.0,21106266.0,1646671044.0,2147483600.0
primary,XNR-PC,100,16585534704111605887,18,17,0,527.2916227241452,384.1125575077827,1696.2727166227176,233999999782070517776,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,54482370556,5448237055600,5448237055600,0.0,0.0,233999999782070517776,4294967296,233999999777775550480,0.9999999999816455,0,0,1,0.0,0.0,0.0,0.0,0,233999999782070517776,233999999782070517776,0,0.0,4294967296,4294967296,0.0,4294967296,4294967296,0.0,0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.9999999797087011,0.0,4294967296.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2147483600.0,2147483600.0
