tag,arm,N,seed,scope,O_mean,O_median,O_p95,O_max,M_ge2,M_ge3,m_max,mean_mult_reused
primary,XNR-PW-MT-ZERO,100,9964858435511495645,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,9964858435511495645,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,9964858435511495645,subsweep,112143.76222222223,0.0,0.0,20578637.0,357535998.0,70766872.0,4.0,2.250177603095507
primary,XNR-PC,100,9964858435511495645,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,9964858435511495645,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,12980243426712185825,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,12980243426712185825,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,12980243426712185825,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,12980243426712185825,subsweep,94981.46181818185,0.0,0.0,20523534.0,398685498.0,35736369.0,3.0,2.089635487569202
primary,XNR-PW-MT-ZERO,100,12980243426712185825,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,12980243426712185825,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,12980243426712185825,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,12980243426712185825,subsweep,94981.46181818182,0.0,0.0,20523534.0,398685498.0,35736369.0,3.0,2.089635487569202
primary,XNR-PC,100,12980243426712185825,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,12980243426712185825,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,2834549471034337693,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,2834549471034337693,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
