tag,arm,N,seed,template_epochs_completed,nonce_domain_exhaustions,nonce_resets
primary,XNR-PW-CONV-OFFSET,200,6452565723836495873,108964740000,108964740000,0
primary,XNR-PW-MT-ZERO,200,6452565723836495873,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,6452565723836495873,544823706,108964741200,0
primary,XNR-PC,200,6452565723836495873,108964738586,21792947717200,21792947717200
primary,XNR-PW-CONV-ZERO,200,12576523555926126553,108964739400,108964739400,108964743200
primary,XNR-PW-CONV-OFFSET,200,12576523555926126553,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,12576523555926126553,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,12576523555926126553,544823706,108964741200,0
primary,XNR-PC,200,12576523555926126553,108964738582,21792947716400,21792947716400
primary,XNR-PW-CONV-ZERO,200,7616672725889129548,108964740000,108964740000,108964742600
primary,XNR-PW-CONV-OFFSET,200,7616672725889129548,108964740000,108964740000,0
primary,XNR-PW-MT-ZERO,200,7616672725889129548,544823705,108964741000,108964741400
primary,XNR-PW-MT-OFFSET,200,7616672725889129548,544823706,108964741200,0
primary,XNR-PC,200,7616672725889129548,108964738585,21792947717000,21792947717000
primary,XNR-PW-CONV-ZERO,300,18231826143518580289,163447109400,163447109400,163447114200
primary,XNR-PW-CONV-OFFSET,300,18231826143518580289,163447109400,163447109400,0
primary,XNR-PW-MT-ZERO,300,18231826143518580289,544823706,163447111800,163447112100
primary,XNR-PW-MT-OFFSET,300,18231826143518580289,544823706,163447111800,0
primary,XNR-PC,300,18231826143518580289,163447107880,49034132364000,49034132364000
primary,XNR-PW-CONV-ZERO,300,8906286495562900921,163447109100,163447109100,163447115100
primary,XNR-PW-CONV-OFFSET,300,8906286495562900921,163447109100,163447109100,0
primary,XNR-PW-MT-ZERO,300,8906286495562900921,544823706,163447111800,163447112100
primary,XNR-PW-MT-OFFSET,300,8906286495562900921,544823706,163447111800,0
primary,XNR-PC,300,8906286495562900921,163447107877,49034132363100,49034132363100
primary,XNR-PW-CONV-ZERO,300,8770642015975544875,163447109100,163447109100,163447114200
primary,XNR-PW-CONV-OFFSET,300,8770642015975544875,163447109100,163447109100,0
primary,XNR-PW-MT-ZERO,300,8770642015975544875,544823706,163447111800,163447112100
primary,XNR-PW-MT-OFFSET,300,8770642015975544875,544823706,163447111800,0
primary,XNR-PC,300,8770642015975544875,163447107877,49034132363100,49034132363100
primary,XNR-PW-CONV-ZERO,300,9576473659758073777,163447109100,163447109100,163447114200
primary,XNR-PW-CONV-OFFSET,300,9576473659758073777,163447109100,163447109100,0
primary,XNR-PW-MT-ZERO,300,9576473659758073777,544823706,163447111800,163447112100
primary,XNR-PW-MT-OFFSET,300,9576473659758073777,544823706,163447111800,0
primary,XNR-PC,300,9576473659758073777,163447107877,49034132363100,49034132363100
primary,XNR-PW-CONV-ZERO,300,16363268894485278985,163447110300,163447110300,163447113900
primary,XNR-PW-CONV-OFFSET,300,16363268894485278985,163447110300,163447110300,0
primary,XNR-PW-MT-ZERO,300,16363268894485278985,544823706,163447111800,163447112100
primary,XNR-PW-MT-OFFSET,300,16363268894485278985,544823706,163447111800,0
primary,XNR-PC,300,16363268894485278985,163447107881,49034132364300,49034132364300
primary,XNR-PW-CONV-ZERO,300,16585534704111605887,163447109100,163447109100,163447114500
primary,XNR-PW-CONV-OFFSET,300,16585534704111605887,163447109100,163447109100,0
primary,XNR-PW-MT-ZERO,300,16585534704111605887,544823706,163447111800,163447112100
primary,XNR-PW-MT-OFFSET,300,16585534704111605887,544823706,163447111800,0
primary,XNR-PC,300,16585534704111605887,163447107878,49034132363400,49034132363400
primary,XNR-PW-CONV-ZERO,300,14790319751179523344,163447108800,163447108800,163447113900
primary,XNR-PW-CONV-OFFSET,300,14790319751179523344,163447108800,163447108800,0
primary,XNR-PW-MT-ZERO,300,14790319751179523344,544823706,163447111800,163447112100
