tag,arm,N,seed,scope,C_exact,U_exact,R_exact,rho_exact
primary,XNR-PW-MT-ZERO,100,7383040523285475032,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,7383040523285475032,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,7383040523285475032,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,7383040523285475032,NR-global-run,233999999782070517784,233999999782070517784,0,0.0
primary,XNR-PC,100,7383040523285475032,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,8469065342115915783,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,8469065342115915783,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,8469065342115915783,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,8469065342115915783,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,8469065342115915783,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,8469065342115915783,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,8469065342115915783,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,8469065342115915783,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,8469065342115915783,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,8469065342115915783,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,11167473384098259577,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,11167473384098259577,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,11167473384098259577,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,11167473384098259577,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,11167473384098259577,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,11167473384098259577,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,11167473384098259577,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,11167473384098259577,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,11167473384098259577,NR-global-run,233999999782070517772,233999999782070517772,0,0.0
primary,XNR-PC,100,11167473384098259577,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,3927382471087979842,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,3927382471087979842,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,3927382471087979842,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,3927382471087979842,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,3927382471087979842,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,3927382471087979842,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,3927382471087979842,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,3927382471087979842,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,3927382471087979842,NR-global-run,233999999782070517760,233999999782070517760,0,0.0
primary,XNR-PC,100,3927382471087979842,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,12250540210932396121,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,12250540210932396121,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,12250540210932396121,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,12250540210932396121,NR-template-epoch,4294967296,4294967296,0,0.0
